"type","hole","numPoint","lat","lon"
"Pin","1","0",43.167321716732,-87.939462393946
"Target","1","1",43.166087816609,-87.939566793957
"Tee","1","0",43.163836916384,-87.93889629389
"Pin","2","0",43.168976816898,-87.944263894426
"Target","2","1",43.16789501679,-87.942976894298
"Tee","2","0",43.167086816709,-87.940020394002
"Pin","3","0",43.164808016481,-87.944416894442
"Target","3","1",43.166842016684,-87.943905694391
"Target","3","2",43.165187816519,-87.944350294435
"Tee","3","0",43.169074016907,-87.944679694468
"Pin","4","0",43.163289716329,-87.942579094258
"Tee","4","0",43.16450021645,-87.944048794405
"Pin","5","0",43.159669915967,-87.939706293971
"Target","5","1",43.160632016063,-87.940889794089
"Tee","5","0",43.162788416279,-87.9419949942
"Pin","6","0",43.162586816259,-87.940959094096
"Target","6","1",43.161363716136,-87.940345294035
"Tee","6","0",43.159331515933,-87.938862093886
"Pin","7","0",43.159441315944,-87.93820239382
"Target","7","1",43.160983016098,-87.938944893895
"Target","7","2",43.159753615975,-87.938482293848
"Tee","7","0",43.163056616306,-87.940315594032
"Pin","8","0",43.160623016062,-87.937448193745
"Tee","8","0",43.159223515922,-87.937737993774
"Pin","9","0",43.162614716261,-87.938046693805
"Target","9","1",43.162006316201,-87.937893693789
"Tee","9","0",43.160182916018,-87.936474393647
"Pin","10","0",43.15949801595,-87.935653593565
"Target","10","1",43.161086516109,-87.936050493605
"Target","10","2",43.159793215979,-87.935720193572
"Tee","10","0",43.1629981163,-87.937809993781
"Pin","11","0",43.161689516169,-87.934468293447
"Target","11","1",43.16079671608,-87.933942693394
"Tee","11","0",43.159155115916,-87.935444793544
"Pin","12","0",43.162949516295,-87.935117193512
"Tee","12","0",43.161405116141,-87.934846293485
"Pin","13","0",43.164563216456,-87.937118793712
"Target","13","1",43.163640716364,-87.936615693662
"Tee","13","0",43.163160116316,-87.933875193388
"Pin","14","0",43.167688916769,-87.9379953938
"Target","14","1",43.166415416642,-87.938210493821
"Tee","14","0",43.164178016418,-87.937464393746
"Pin","15","0",43.169872316987,-87.944250394425
"Target","15","1",43.169083016908,-87.941190394119
"Target","15","2",43.169734616973,-87.943744594374
"Tee","15","0",43.168051616805,-87.938241993824
"Pin","16","0",43.167733916773,-87.939626193963
"Target","16","1",43.168371116837,-87.941667394167
"Tee","16","0",43.169538416954,-87.944454694445
"Pin","17","0",43.166337116634,-87.94280499428
"Tee","17","0",43.166959916696,-87.940364194036
"Pin","18","0",43.163829716383,-87.939387693939
"Target","18","1",43.164425516443,-87.940988794099
"Tee","18","0",43.165936616594,-87.943370194337
