"type","hole","numPoint","lat","lon"
"Pin","1","0",44.943394494339,-93.324777632478
"Target","1","1",44.943346794335,-93.323968532397
"Tee","1","0",44.942788794279,-93.321293732129
"Pin","2","0",44.940442494044,-93.328224632822
"Target","2","1",44.941484694148,-93.327193232719
"Tee","2","0",44.943310794331,-93.325212332521
"Pin","3","0",44.938887293889,-93.32859993286
"Tee","3","0",44.940319194032,-93.328637732864
"Pin","4","0",44.934417893442,-93.328391132839
"Target","4","1",44.936144993615,-93.328571132857
"Target","4","2",44.93479769348,-93.328348832835
"Tee","4","0",44.938447193845,-93.328648532865
"Pin","5","0",44.936628293663,-93.326255432626
"Target","5","1",44.935966793597,-93.32639763264
"Tee","5","0",44.934272093427,-93.327445232745
"Pin","6","0",44.934421493442,-93.324522932452
"Tee","6","0",44.935173893517,-93.32619963262
"Pin","7","0",44.937843293784,-93.325606532561
"Target","7","1",44.935806593581,-93.325583132558
"Target","7","2",44.937532793753,-93.325647032565
"Tee","7","0",44.934323393432,-93.323573432357
"Pin","8","0",44.93750309375,-93.324536432454
"Tee","8","0",44.939027693903,-93.325847732585
"Pin","9","0",44.941722294172,-93.323917232392
"Target","9","1",44.939752193975,-93.325011632501
"Target","9","2",44.941472094147,-93.324218732422
"Tee","9","0",44.937579593758,-93.323935232394
"Pin","10","0",44.939561393956,-93.326909732691
"Target","10","1",44.940575694058,-93.325871132587
"Tee","10","0",44.942437794244,-93.323958632396
"Pin","11","0",44.93820419382,-93.326767532677
"Tee","11","0",44.939639693964,-93.326365232637
"Pin","12","0",44.935325093533,-93.327451532745
"Target","12","1",44.936209793621,-93.327083432708
"Tee","12","0",44.938418393842,-93.326164532616
"Pin","13","0",44.939745893975,-93.32749473275
"Target","13","1",44.937109793711,-93.32769633277
"Target","13","2",44.938918793892,-93.327668432767
"Tee","13","0",44.934811193481,-93.327871832787
"Pin","14","0",44.942749194275,-93.324834332483
"Target","14","1",44.941434294143,-93.326171732617
"Tee","14","0",44.939675693968,-93.328269632827
"Pin","15","0",44.941862694186,-93.328146332815
"Target","15","1",44.942974194297,-93.327315632732
"Tee","15","0",44.944036194404,-93.324965732497
"Pin","16","0",44.944246794425,-93.328230032823
"Target","16","1",44.943212694321,-93.328230032823
"Tee","16","0",44.940962694096,-93.328919432892
"Pin","17","0",44.944307994431,-93.324990032499
"Target","17","1",44.944279194428,-93.325742432574
"Tee","17","0",44.944717494472,-93.328816832882
"Pin","18","0",44.941941894194,-93.32129643213
"Target","18","1",44.942359494236,-93.322359332236
"Tee","18","0",44.94320099432,-93.325324832533
