"type","hole","numPoint","lat","lon"
"Pin","1","0",41.320013932001,-71.83709998371
"Target","1","1",41.320465732047,-71.836084783608
"Tee","1","0",41.321651932165,-71.833586383359
"Pin","2","0",41.321686132169,-71.840476784048
"Target","2","1",41.321148832115,-71.839023283902
"Tee","2","0",41.319307431931,-71.837182783718
"Pin","3","0",41.323662532366,-71.839875583988
"Tee","3","0",41.321822932182,-71.839513783951
"Pin","4","0",41.321730232173,-71.838781183878
"Target","4","1",41.322266632227,-71.838891883889
"Tee","4","0",41.323914532391,-71.839366183937
"Pin","5","0",41.324568832457,-71.836678783668
"Target","5","1",41.323505932351,-71.837223283722
"Tee","5","0",41.321380132138,-71.83840048384
"Pin","6","0",41.326179832618,-71.834793283479
"Tee","6","0",41.325027832503,-71.836208983621
"Pin","7","0",41.322453832245,-71.836963183696
"Target","7","1",41.32429793243,-71.836109083611
"Target","7","2",41.322830032283,-71.836818283682
"Tee","7","0",41.326018732602,-71.834071483407
"Pin","8","0",41.321264932126,-71.836208983621
"Tee","8","0",41.322587032259,-71.836544683654
"Pin","9","0",41.323719232372,-71.832719683272
"Target","9","1",41.323169332317,-71.833735783374
"Tee","9","0",41.321645632165,-71.835407083541
"Pin","10","0",41.321079532108,-71.830450783045
"Target","10","1",41.321926432193,-71.831287783129
"Tee","10","0",41.323783132378,-71.832462283246
"Pin","11","0",41.319242631924,-71.827784082778
"Target","11","1",41.319806931981,-71.828370882837
"Tee","11","0",41.320421632042,-71.831040283104
"Pin","12","0",41.31970253197,-71.826392682639
"Tee","12","0",41.318437131844,-71.825668182567
"Pin","13","0",41.320038232004,-71.82230488223
"Target","13","1",41.320276732028,-71.823874482387
"Tee","13","0",41.320127332013,-71.826934482693
"Pin","14","0",41.323342132334,-71.822114082211
"Target","14","1",41.321969632197,-71.822766582277
"Tee","14","0",41.319994131999,-71.821829682183
"Pin","15","0",41.322280132228,-71.826459282646
"Target","15","1",41.322512332251,-71.825465682547
"Tee","15","0",41.323257532326,-71.822739582274
"Pin","16","0",41.321093932109,-71.82350098235
"Target","16","1",41.321412532141,-71.824618782462
"Tee","16","0",41.321786932179,-71.827588782759
"Pin","17","0",41.320739332074,-71.828891982889
"Target","17","1",41.32080233208,-71.826129882613
"Target","17","2",41.320657432066,-71.828311482831
"Tee","17","0",41.320727632073,-71.823230082323
"Pin","18","0",41.322068632207,-71.832309283231
"Tee","18","0",41.320729432073,-71.830774783077
