"type","hole","numPoint","lat","lon"
"Pin","1","0",33.795006079501,-116.42921634292
"Target","1","1",33.795589279559,-116.43032064303
"Tee","1","0",33.797409079741,-116.4320189432
"Pin","2","0",33.79129897913,-116.42824794282
"Target","2","1",33.792562579256,-116.4280103428
"Tee","2","0",33.794553379455,-116.42907684291
"Pin","3","0",33.789840978984,-116.42383614238
"Target","3","1",33.790572679057,-116.4259736426
"Target","3","2",33.789962478996,-116.42418984242
"Tee","3","0",33.790677079068,-116.42874114287
"Pin","4","0",33.788015778802,-116.42284344228
"Tee","4","0",33.789067878907,-116.42379834238
"Pin","5","0",33.788855478886,-116.41831284183
"Target","5","1",33.788735778874,-116.41962504196
"Tee","5","0",33.788093178809,-116.42228544223
"Pin","6","0",33.791709379171,-116.41613754161
"Target","6","1",33.789729378973,-116.41642014164
"Target","6","2",33.791330479133,-116.41631394163
"Tee","6","0",33.788076078808,-116.41834794183
"Pin","7","0",33.792767779277,-116.41683504168
"Tee","7","0",33.791847079185,-116.41553724155
"Pin","8","0",33.789950778995,-116.41731024173
"Target","8","1",33.790893979089,-116.41712754171
"Tee","8","0",33.793026979303,-116.41730754173
"Pin","9","0",33.7890030789,-116.42193174219
"Target","9","1",33.789374778937,-116.42044404204
"Tee","9","0",33.789528678953,-116.41768014177
"Pin","10","0",33.792540979254,-116.42028474203
"Target","10","1",33.791837179184,-116.42125044213
"Tee","10","0",33.789555678956,-116.42162394216
"Pin","11","0",33.793789279379,-116.41879344188
"Tee","11","0",33.79259857926,-116.41982574198
"Pin","12","0",33.793610179361,-116.42244924224
"Target","12","1",33.792809179281,-116.42148084215
"Tee","12","0",33.793853179385,-116.41923534192
"Pin","13","0",33.791181079118,-116.42215674222
"Target","13","1",33.792126979213,-116.42236464224
"Tee","13","0",33.794257279426,-116.42327904233
"Pin","14","0",33.79130167913,-116.42709504271
"Target","14","1",33.791247679125,-116.42592774259
"Tee","14","0",33.790233379023,-116.42355174236
"Pin","15","0",33.794888179489,-116.42848914285
"Target","15","1",33.793512979351,-116.42742264274
"Target","15","2",33.794908879491,-116.42815074282
"Tee","15","0",33.791214379121,-116.42758554276
"Pin","16","0",33.795846679585,-116.4250241425
"Target","16","1",33.795086179509,-116.42580534258
"Tee","16","0",33.795338179534,-116.42845944285
"Pin","17","0",33.795718879572,-116.42670804267
"Tee","17","0",33.796225579623,-116.42475324248
"Pin","18","0",33.797584579758,-116.43149874315
"Target","18","1",33.796051879605,-116.42968794297
"Target","18","2",33.797266879727,-116.4310226431
"Tee","18","0",33.795492079549,-116.42695014269
