"type","hole","numPoint","lat","lon"
"Pin","1","0",33.796160779616,-116.4379499438
"Target","1","1",33.796680979668,-116.43647574365
"Tee","1","0",33.797643079764,-116.43390354339
"Pin","2","0",33.792110779211,-116.4349799435
"Target","2","1",33.79370287937,-116.43634614363
"Target","2","2",33.792384379238,-116.43516354352
"Tee","2","0",33.795676579568,-116.43777264378
"Pin","3","0",33.789081378908,-116.4389606439
"Target","3","1",33.789942678994,-116.43743694374
"Tee","3","0",33.791156779116,-116.4349673435
"Pin","4","0",33.791211679121,-116.43627594363
"Target","4","1",33.790743679074,-116.43746034375
"Tee","4","0",33.789285678929,-116.43960414396
"Pin","5","0",33.791836279184,-116.43705084371
"Tee","5","0",33.791519479152,-116.43530214353
"Pin","6","0",33.794720779472,-116.43891204389
"Target","6","1",33.794130379413,-116.43762234376
"Tee","6","0",33.792094579209,-116.43727404373
"Pin","7","0",33.798215479822,-116.43975714398
"Target","7","1",33.797317279732,-116.43920184392
"Tee","7","0",33.795108679511,-116.43892824389
"Pin","8","0",33.799391779939,-116.43868884387
"Tee","8","0",33.798579079858,-116.44014594401
"Pin","9","0",33.797816779782,-116.43474684347
"Target","9","1",33.797169679717,-116.43738654374
"Target","9","2",33.797722279772,-116.43510594351
"Tee","9","0",33.798565579857,-116.43926934393
"Pin","10","0",33.794052079405,-116.43120354312
"Target","10","1",33.795039379504,-116.43155454316
"Tee","10","0",33.797054479705,-116.43279024328
"Pin","11","0",33.78940177894,-116.43345984335
"Target","11","1",33.791287279129,-116.4319919432
"Target","11","2",33.789713178971,-116.43316194332
"Tee","11","0",33.793510279351,-116.43126834313
"Pin","12","0",33.788927478893,-116.430018243
"Target","12","1",33.788592678859,-116.43163014316
"Tee","12","0",33.789047178905,-116.43444624344
"Pin","13","0",33.788231778823,-116.42528154253
"Target","13","1",33.788280378828,-116.42683854268
"Tee","13","0",33.788041878804,-116.42969334297
"Pin","14","0",33.787564878756,-116.42626614263
"Tee","14","0",33.787462278746,-116.42440944244
"Pin","15","0",33.787551378755,-116.43078504308
"Target","15","1",33.787464978746,-116.42961774296
"Tee","15","0",33.78730207873,-116.42680524268
"Pin","16","0",33.788630478863,-116.43477924348
"Target","16","1",33.7880013788,-116.43342654334
"Tee","16","0",33.788144478814,-116.43056274306
"Pin","17","0",33.790837279084,-116.43335994334
"Tee","17","0",33.78940177894,-116.43429594343
"Pin","18","0",33.796590979659,-116.43333114333
"Target","18","1",33.793956679396,-116.43216474322
"Target","18","2",33.795873679587,-116.43306024331
"Tee","18","0",33.791584279158,-116.43277314328
