"type","hole","numPoint","lat","lon"
"Pin","1","0",22.777509177751,114.00774180077
"Target","1","1",22.778822277882,114.00746460075
"Tee","1","0",22.780813078081,114.00621090062
"Pin","2","0",22.772217177222,114.0050040005
"Target","2","1",22.774420377442,114.00488970049
"Target","2","2",22.77290477729,114.00473940047
"Tee","2","0",22.77650027765,114.00585090059
"Pin","3","0",22.769788076979,114.00474840047
"Tee","3","0",22.771363977136,114.0049824005
"Pin","4","0",22.771613277161,114.00618930062
"Target","4","1",22.770873477087,114.00569700057
"Tee","4","0",22.768606376861,114.00613530061
"Pin","5","0",22.76879897688,114.00727290073
"Target","5","1",22.769711576971,114.00665820067
"Tee","5","0",22.771685277169,114.00662670066
"Pin","6","0",22.766390576639,114.01183500118
"Target","6","1",22.767526376753,114.00957780096
"Target","6","2",22.766485076649,114.01112760111
"Tee","6","0",22.768507376851,114.00731790073
"Pin","7","0",22.766773976677,114.00669060067
"Target","7","1",22.76649677665,114.00755820076
"Tee","7","0",22.765606676561,114.00986130099
"Pin","8","0",22.766234876623,114.00984510098
"Target","8","1",22.767056576706,114.00848700085
"Tee","8","0",22.768640576864,114.00655380066
"Pin","9","0",22.764305276431,114.01253790125
"Target","9","1",22.764823676482,114.0120249012
"Tee","9","0",22.765581476558,114.01009710101
"Pin","10","0",22.766017076602,114.01342260134
"Tee","10","0",22.765576976558,114.01244430124
"Pin","11","0",22.766110676611,114.01779480178
"Target","11","1",22.765930676593,114.01669500167
"Tee","11","0",22.765940576594,114.01419840142
"Pin","12","0",22.765479776548,114.01490400149
"Target","12","1",22.765206176521,114.01655640166
"Tee","12","0",22.765707476571,114.01908540191
"Pin","13","0",22.770864477086,114.00905940091
"Target","13","1",22.768472276847,114.009970201
"Target","13","2",22.770346977035,114.00930060093
"Tee","13","0",22.767127676713,114.01210590121
"Pin","14","0",22.768660376866,114.00837270084
"Tee","14","0",22.770229077023,114.00865980087
"Pin","15","0",22.771571877157,114.00873720087
"Target","15","1",22.770820377082,114.00783900078
"Tee","15","0",22.768640576864,114.00783090078
"Pin","16","0",22.771754577175,114.00731790073
"Tee","16","0",22.772624877262,114.00873180087
"Pin","17","0",22.776235677624,114.00650790065
"Target","17","1",22.774261077426,114.00572850057
"Target","17","2",22.775973777597,114.00620640062
"Tee","17","0",22.7720047772,114.00588330059
"Pin","18","0",22.779611577961,114.00420120042
"Target","18","1",22.778469477847,114.00445680045
"Tee","18","0",22.776556977656,114.00584820058
