"type","hole","numPoint","lat","lon"
"Pin","1","0",19.914835691484,110.32131983213
"Target","1","1",19.914124691412,110.32022543202
"Tee","1","0",19.911948491195,110.31957293196
"Pin","2","0",19.91980099198,110.31992213199
"Target","2","1",19.917608591761,110.32132703213
"Target","2","2",19.918917191892,110.31975473198
"Tee","2","0",19.915319891532,110.32159343216
"Pin","3","0",19.91729989173,110.31789173179
"Target","3","1",19.918333991833,110.3190095319
"Tee","3","0",19.920633492063,110.31887633189
"Pin","4","0",19.917108191711,110.31381743138
"Target","4","1",19.917044291704,110.31570023157
"Tee","4","0",19.918376291838,110.31785663179
"Pin","5","0",19.916520491652,110.31244133124
"Tee","5","0",19.916348591635,110.31390563139
"Pin","6","0",19.915915691592,110.31683243168
"Target","6","1",19.915331591533,110.31436913144
"Target","6","2",19.916128991613,110.3160476316
"Tee","6","0",19.91560249156,110.31193733119
"Pin","7","0",19.917514091751,110.319988732
"Target","7","1",19.916557391656,110.31933893193
"Tee","7","0",19.915637591564,110.31728513173
"Pin","8","0",19.915948091595,110.31955763196
"Tee","8","0",19.917256691726,110.32045853205
"Pin","9","0",19.91210239121,110.31910403191
"Target","9","1",19.913972591397,110.31940193194
"Tee","9","0",19.9159984916,110.32056563206
"Pin","10","0",19.91330029133,110.32288313229
"Target","10","1",19.913312891331,110.32174283217
"Tee","10","0",19.911746891175,110.32006973201
"Pin","11","0",19.911317591132,110.32372553237
"Tee","11","0",19.913115791312,110.32322333232
"Pin","12","0",19.914684491468,110.32363643236
"Target","12","1",19.912912391291,110.32473353247
"Target","12","2",19.914486491449,110.3239766324
"Tee","12","0",19.910672291067,110.32416833242
"Pin","13","0",19.911590291159,110.32828493283
"Target","13","1",19.913356991336,110.32551923255
"Target","13","2",19.911842291184,110.32686473269
"Tee","13","0",19.915406291541,110.32440143244
"Pin","14","0",19.910284391028,110.32508003251
"Target","14","1",19.910067491007,110.32669103267
"Tee","14","0",19.911360791136,110.32871693287
"Pin","15","0",19.908515890852,110.32352123235
"Tee","15","0",19.909484290948,110.3250368325
"Pin","16","0",19.908561790856,110.32009133201
"Target","16","1",19.907817490782,110.32089683209
"Tee","16","0",19.908493390849,110.32310003231
"Pin","17","0",19.910150291015,110.32313513231
"Target","17","1",19.909673290967,110.32180493218
"Tee","17","0",19.908735490874,110.31956753196
"Pin","18","0",19.911191591119,110.31948203195
"Target","18","1",19.910567891057,110.32162223216
"Target","18","2",19.910864891086,110.31981323198
"Tee","18","0",19.910539091054,110.32407113241
