"type","hole","numPoint","lat","lon"
"Pin","1","0",19.907187490719,110.31564893156
"Target","1","1",19.90820089082,110.3160224316
"Tee","1","0",19.910256491026,110.31558233156
"Pin","2","0",19.90430479043,110.31847313185
"Target","2","1",19.905358690536,110.31772973177
"Tee","2","0",19.905956290596,110.31541043154
"Pin","3","0",19.900087390009,110.31743273174
"Target","3","1",19.902067390207,110.31635363164
"Target","3","2",19.900539190054,110.31720863172
"Tee","3","0",19.904155390416,110.31684053168
"Pin","4","0",19.903472290347,110.3140127314
"Target","4","1",19.901352790135,110.31518003152
"Target","4","2",19.902530890253,110.31415493142
"Tee","4","0",19.899757089976,110.31694493169
"Pin","5","0",19.902365290237,110.31015083102
"Target","5","1",19.903321990332,110.31117413112
"Tee","5","0",19.903472290347,110.31353033135
"Pin","6","0",19.899961389996,110.31391373139
"Target","6","1",19.901350990135,110.31311903131
"Tee","6","0",19.902322090232,110.31089873109
"Pin","7","0",19.901618290162,110.31008333101
"Target","7","1",19.901156590116,110.31133163113
"Tee","7","0",19.899447489945,110.3129723313
"Pin","8","0",19.90369639037,110.30938853094
"Tee","8","0",19.901910790191,110.30956583096
"Pin","9","0",19.901552590155,110.30535473054
"Target","9","1",19.903469590347,110.30686583069
"Target","9","2",19.90219699022,110.30543663054
"Tee","9","0",19.904455990446,110.30907803091
"Pin","10","0",19.899870489987,110.30563373056
"Tee","10","0",19.901285290129,110.3060279306
"Pin","11","0",19.901237590124,110.30177453018
"Target","11","1",19.900366390037,110.30267363027
"Tee","11","0",19.899873189987,110.30506493051
"Pin","12","0",19.905729490573,110.30227313023
"Target","12","1",19.904075290408,110.30110853011
"Target","12","2",19.90529839053,110.30221193022
"Tee","12","0",19.901819890182,110.30092943009
"Pin","13","0",19.906332490633,110.30376443038
"Tee","13","0",19.905393790539,110.30308853031
"Pin","14","0",19.905754690575,110.30917433092
"Target","14","1",19.90640269064,110.30793143079
"Tee","14","0",19.905760090576,110.30567153057
"Pin","15","0",19.908387190839,110.31064943106
"Target","15","1",19.907218090722,110.30980343098
"Tee","15","0",19.904894290489,110.31012923101
"Pin","16","0",19.905676390568,110.31190493119
"Target","16","1",19.906292890629,110.3110418311
"Tee","16","0",19.908511390851,110.31114353111
"Pin","17","0",19.906346890635,110.31408023141
"Tee","17","0",19.905925690593,110.31239273124
"Pin","18","0",19.910568791057,110.31468323147
"Target","18","1",19.909279990928,110.31492983149
"Tee","18","0",19.906990390699,110.31467333147
