"type","hole","numPoint","lat","lon"
"Pin","1","0",35.142329614233,137.09270000927
"Target","1","1",35.142674314267,137.09414090941
"Tee","1","0",35.143425814343,137.09680220968
"Pin","2","0",35.138938413894,137.08983530898
"Target","2","1",35.140757314076,137.09156330916
"Target","2","2",35.139248013925,137.09016830902
"Tee","2","0",35.14290201429,137.09258660926
"Pin","3","0",35.136174513617,137.08908110891
"Target","3","1",35.137653213765,137.08890470889
"Tee","3","0",35.139881613988,137.08937810894
"Pin","4","0",35.133948813395,137.08963100896
"Target","4","1",35.134888413489,137.08869050887
"Tee","4","0",35.13710241371,137.08812620881
"Pin","5","0",35.134957713496,137.09089190909
"Tee","5","0",35.133470913347,137.08992350899
"Pin","6","0",35.138771913877,137.09119520912
"Target","6","1",35.137437213744,137.09094860909
"Tee","6","0",35.135139513514,137.09113580911
"Pin","7","0",35.141939014194,137.09378360938
"Target","7","1",35.140062514006,137.0929763093
"Target","7","2",35.141455714146,137.09358920936
"Tee","7","0",35.137839513784,137.09224370922
"Pin","8","0",35.139651213965,137.09469800947
"Tee","8","0",35.141662714166,137.09448560945
"Pin","9","0",35.142677914268,137.09622170962
"Target","9","1",35.141618614162,137.09582660958
"Tee","9","0",35.139342513934,137.09540630954
"Pin","10","0",35.138771913877,137.09665100967
"Target","10","1",35.140022914002,137.09672570967
"Tee","10","0",35.142325114233,137.09669870967
"Pin","11","0",35.136308613631,137.09383400938
"Target","11","1",35.137029513703,137.09510480951
"Tee","11","0",35.138576613858,137.09719010972
"Pin","12","0",35.131948113195,137.09256320926
"Target","12","1",35.134043313404,137.09343710934
"Target","12","2",35.13240081324,137.09263610926
"Tee","12","0",35.136427413643,137.09336780934
"Pin","13","0",35.133761613376,137.09431460943
"Tee","13","0",35.132314413231,137.09327060933
"Pin","14","0",35.136861213686,137.09610110961
"Target","14","1",35.135950413595,137.09608040961
"Tee","14","0",35.133843513384,137.09540360954
"Pin","15","0",35.133191913319,137.0979677098
"Target","15","1",35.135486013549,137.09706410971
"Target","15","2",35.134060413406,137.09771210977
"Tee","15","0",35.137764813776,137.09666090967
"Pin","16","0",35.134352013435,137.09872100987
"Tee","16","0",35.132795013279,137.09890100989
"Pin","17","0",35.138337213834,137.09748440975
"Target","17","1",35.137151913715,137.09781560978
"Tee","17","0",35.13490011349,137.09840780984
"Pin","18","0",35.141879614188,137.09734490973
"Target","18","1",35.140391014039,137.09768690977
"Tee","18","0",35.138052813805,137.09825750983
