"type","hole","numPoint","lat","lon"
"Pin","1","0",36.857466985747,31.064145706415
"Target","1","1",36.856078285608,31.066471306647
"Target","1","2",36.85729508573,31.064940406494
"Tee","1","0",36.854361985436,31.068389206839
"Pin","2","0",36.857274385727,31.061981206198
"Tee","2","0",36.857705485771,31.063556206356
"Pin","3","0",36.858310285831,31.05980050598
"Target","3","1",36.858012385801,31.060674406067
"Tee","3","0",36.856220485622,31.062035206204
"Pin","4","0",36.858756685876,31.064266306427
"Target","4","1",36.858223885822,31.061794006179
"Target","4","2",36.858250885825,31.063438306344
"Tee","4","0",36.859261585926,31.059167805917
"Pin","5","0",36.857226685723,31.066235506624
"Tee","5","0",36.858819685882,31.064913406491
"Pin","6","0",36.854183785418,31.069795006979
"Target","6","1",36.855312385531,31.068440506844
"Tee","6","0",36.857278885728,31.066846606685
"Pin","7","0",36.851026585103,31.073208707321
"Target","7","1",36.852062485206,31.071987407199
"Tee","7","0",36.853971385397,31.070288207029
"Pin","8","0",36.850571185057,31.072356407236
"Tee","8","0",36.850247185025,31.074155507416
"Pin","9","0",36.852874285287,31.068164206816
"Target","9","1",36.851756485176,31.069031806903
"Tee","9","0",36.850228285023,31.071183707118
"Pin","10","0",36.853731085373,31.063228606323
"Target","10","1",36.853813885381,31.064421106442
"Tee","10","0",36.853258585326,31.066680106668
"Pin","11","0",36.854550985455,31.057764705776
"Target","11","1",36.854132485413,31.060725706073
"Target","11","2",36.854617585462,31.058761905876
"Tee","11","0",36.852840085284,31.062982006298
"Pin","12","0",36.853887685389,31.062582406258
"Target","12","1",36.854868685487,31.060885006089
"Tee","12","0",36.855992785599,31.058314605831
"Pin","13","0",36.856905385691,31.058913105891
"Target","13","1",36.855492385549,31.061027206103
"Target","13","2",36.856247485625,31.059258705926
"Tee","13","0",36.85430348543,31.063491406349
"Pin","14","0",36.85620338562,31.057665705767
"Tee","14","0",36.857529985753,31.058282205828
"Pin","15","0",36.858250885825,31.057421805742
"Target","15","1",36.857553385755,31.057641405764
"Tee","15","0",36.855845185585,31.056407505641
"Pin","16","0",36.858439885844,31.059184005918
"Tee","16","0",36.858861985886,31.057472205747
"Pin","17","0",36.856160185616,31.061152306115
"Target","17","1",36.856909885691,31.06049800605
"Tee","17","0",36.85810058581,31.058095005809
"Pin","18","0",36.853870585387,31.066610806661
"Target","18","1",36.854838085484,31.06409710641
"Target","18","2",36.854063185406,31.065733306573
"Tee","18","0",36.856127785613,31.061713006171
