"type","hole","numPoint","lat","lon"
"Pin","1","0",56.71689507169,-2.4480740448074
"Target","1","1",56.716573771657,-2.4497021449702
"Tee","1","0",56.715633271563,-2.4533669453367
"Pin","2","0",56.719721071972,-2.4473819447382
"Target","2","1",56.718882271888,-2.4475988447599
"Tee","2","0",56.716580071658,-2.4475160447516
"Pin","3","0",56.720992772099,-2.4472316447232
"Tee","3","0",56.719789471979,-2.4465773446577
"Pin","4","0",56.724086972409,-2.4469949446995
"Target","4","1",56.723341772334,-2.447259544726
"Tee","4","0",56.721163772116,-2.4474134447413
"Pin","5","0",56.725264172526,-2.4448439444844
"Target","5","1",56.724831272483,-2.445740344574
"Tee","5","0",56.724068972407,-2.4486473448647
"Pin","6","0",56.728686872869,-2.4429773442977
"Target","6","1",56.726764472676,-2.4441311444131
"Target","6","2",56.72840067284,-2.4431249443125
"Tee","6","0",56.72479617248,-2.4443993444399
"Pin","7","0",56.730890973089,-2.4427091442709
"Target","7","1",56.730071973007,-2.4428774442877
"Tee","7","0",56.728042472804,-2.4443237444324
"Pin","8","0",56.7290045729,-2.4451013445101
"Target","8","1",56.729654372965,-2.4446315444632
"Tee","8","0",56.731458873146,-2.4431762443176
"Pin","9","0",56.725522472552,-2.4463190446319
"Target","9","1",56.72680317268,-2.4459788445979
"Tee","9","0",56.728946072895,-2.4444416444442
"Pin","10","0",56.724062672406,-2.4506381450638
"Target","10","1",56.724435272444,-2.4491315449132
"Tee","10","0",56.725593572559,-2.4455036445504
"Pin","11","0",56.722644272264,-2.4561254456125
"Target","11","1",56.72320227232,-2.4540473454047
"Tee","11","0",56.724557672456,-2.4506543450654
"Pin","12","0",56.722034972203,-2.4578957457896
"Tee","12","0",56.723084372308,-2.4561488456149
"Pin","13","0",56.720012672001,-2.4593177459318
"Target","13","1",56.72050137205,-2.4588578458858
"Tee","13","0",56.722250072225,-2.4568877456888
"Pin","14","0",56.722076372208,-2.4547043454704
"Target","14","1",56.721430172143,-2.4563090456309
"Tee","14","0",56.719668871967,-2.4590117459012
"Pin","15","0",56.723415572342,-2.4482558448256
"Target","15","1",56.723029472303,-2.4519998452
"Target","15","2",56.723385872339,-2.4487670448767
"Tee","15","0",56.722123172212,-2.4558572455857
"Pin","16","0",56.721125972113,-2.4480254448025
"Tee","16","0",56.723021372302,-2.4483737448374
"Pin","17","0",56.717742871774,-2.4491576449158
"Target","17","1",56.718830071883,-2.4491954449195
"Tee","17","0",56.721116972112,-2.4487013448701
"Pin","18","0",56.716215571622,-2.4531050453105
"Target","18","1",56.716574671657,-2.4520232452023
"Tee","18","0",56.717652871765,-2.4483152448315
