"type","hole","numPoint","lat","lon"
"Pin","1","0",53.860166086017,-1.539360153936
"Target","1","1",53.858681085868,-1.5376411537641
"Target","1","2",53.859808785981,-1.5390406539041
"Tee","1","0",53.856936885694,-1.5354262535426
"Pin","2","0",53.859840285984,-1.5464305546431
"Target","2","1",53.860207486021,-1.5441733544173
"Tee","2","0",53.860287586029,-1.5404815540482
"Pin","3","0",53.859933885993,-1.5406768540677
"Target","3","1",53.859683685968,-1.542809854281
"Tee","3","0",53.859405585941,-1.5466852546685
"Pin","4","0",53.858562285856,-1.5419539541954
"Tee","4","0",53.859593685959,-1.5402583540258
"Pin","5","0",53.858748585875,-1.5464386546439
"Target","5","1",53.859137385914,-1.5449383544938
"Tee","5","0",53.858369685837,-1.5416290541629
"Pin","6","0",53.858052885805,-1.5411574541157
"Target","6","1",53.858335485834,-1.5433669543367
"Tee","6","0",53.85820318582,-1.5472648547265
"Pin","7","0",53.857470585747,-1.5475834547583
"Target","7","1",53.857866585787,-1.5443866544387
"Target","7","2",53.857554285755,-1.5469111546911
"Tee","7","0",53.857619085762,-1.5405049540505
"Pin","8","0",53.860416286042,-1.5472243547224
"Tee","8","0",53.858633385863,-1.5469507546951
"Pin","9","0",53.857456185746,-1.5486886548689
"Target","9","1",53.858788185879,-1.5475888547589
"Tee","9","0",53.861047186105,-1.5483484548348
"Pin","10","0",53.856774885677,-1.5479434547943
"Tee","10","0",53.857674885767,-1.5497938549794
"Pin","11","0",53.853455685346,-1.5479164547916
"Target","11","1",53.854172085417,-1.547990254799
"Tee","11","0",53.856474285647,-1.5479245547925
"Pin","12","0",53.857391385739,-1.5498073549807
"Target","12","1",53.8549991855,-1.5487507548751
"Target","12","2",53.856807285681,-1.5494176549418
"Tee","12","0",53.852958885296,-1.548329554833
"Pin","13","0",53.853806685381,-1.5495148549515
"Target","13","1",53.85509548551,-1.5496984549698
"Tee","13","0",53.857368885737,-1.5503167550317
"Pin","14","0",53.857334685733,-1.5510115551012
"Target","14","1",53.856131385613,-1.5507190550719
"Tee","14","0",53.853831885383,-1.5505210550521
"Pin","15","0",53.860274086027,-1.5485518548552
"Target","15","1",53.859150885915,-1.5488515548852
"Tee","15","0",53.85729508573,-1.5505075550508
"Pin","16","0",53.860957186096,-1.542050254205
"Target","16","1",53.860720486072,-1.5441526544153
"Tee","16","0",53.860616986062,-1.5478435547844
"Pin","17","0",53.860547686055,-1.5386464538646
"Tee","17","0",53.861105686111,-1.5410872541087
"Pin","18","0",53.857324785732,-1.5352021535202
"Target","18","1",53.858524485852,-1.5359527535953
"Tee","18","0",53.860422586042,-1.5381640538164
