"type","hole","numPoint","lat","lon"
"Pin","1","0",54.083888108389,-2.8320212832021
"Target","1","1",54.082994408299,-2.8329995833
"Tee","1","0",54.08139690814,-2.833920283392
"Pin","2","0",54.085154408515,-2.8270829827083
"Target","2","1",54.084748508475,-2.8292744829274
"Tee","2","0",54.083909708391,-2.832930283293
"Pin","3","0",54.085808708581,-2.826010182601
"Tee","3","0",54.084739508474,-2.8269488826949
"Pin","4","0",54.082677608268,-2.8237574823757
"Target","4","1",54.083750408375,-2.8243568824357
"Tee","4","0",54.0859959086,-2.8252244825224
"Pin","5","0",54.082385108238,-2.8222715822272
"Tee","5","0",54.08170110817,-2.8246232824623
"Pin","6","0",54.080002808,-2.824570182457
"Target","6","1",54.080593208059,-2.8237061823706
"Tee","6","0",54.082584908258,-2.8218827821883
"Pin","7","0",54.082350908235,-2.8310879831088
"Target","7","1",54.081652508165,-2.8297190829719
"Tee","7","0",54.080039708004,-2.8274348827435
"Pin","8","0",54.079981207998,-2.8286840828684
"Target","8","1",54.080760608076,-2.8296884829688
"Tee","8","0",54.08230230823,-2.8316747831675
"Pin","9","0",54.081356408136,-2.8332416833242
"Target","9","1",54.080950508095,-2.8323866832387
"Tee","9","0",54.079776907978,-2.8290917829092
"Pin","10","0",54.083127608313,-2.8316990831699
"Tee","10","0",54.081491408149,-2.8326647832665
"Pin","11","0",54.082025108203,-2.827219782722
"Target","11","1",54.082350908235,-2.828270082827
"Tee","11","0",54.083106008311,-2.8313021831302
"Pin","12","0",54.080577008058,-2.8272764827276
"Tee","12","0",54.082050308205,-2.8266914826691
"Pin","13","0",54.083059208306,-2.8266752826675
"Target","13","1",54.082385108239,-2.8262270826227
"Tee","13","0",54.080315108031,-2.8246745824675
"Pin","14","0",54.083373308337,-2.8314065831407
"Target","14","1",54.08319870832,-2.8290827829083
"Tee","14","0",54.082910708291,-2.825259582526
"Pin","15","0",54.083484008348,-2.825830182583
"Target","15","1",54.083875508388,-2.8276994827699
"Tee","15","0",54.083590208359,-2.8315946831595
"Pin","16","0",54.084508208451,-2.8263242826324
"Tee","16","0",54.083253608325,-2.8249346824935
"Pin","17","0",54.083789108379,-2.831380483138
"Target","17","1",54.0839970084,-2.830479583048
"Tee","17","0",54.084627908463,-2.8267769826777
"Pin","18","0",54.081688508169,-2.8330913833091
"Target","18","1",54.082036808204,-2.8328510832851
"Tee","18","0",54.083963708396,-2.8316270831627
