"type","hole","numPoint","lat","lon"
"Pin","1","0",49.144176414418,2.5992317599232
"Target","1","1",49.145069214507,2.601110060111
"Tee","1","0",49.147134714713,2.6019542601954
"Pin","2","0",49.142783214278,2.6013620601362
"Tee","2","0",49.143858714386,2.5994360599436
"Pin","3","0",49.145755914576,2.6037137603714
"Target","3","1",49.144267314427,2.6022854602285
"Target","3","2",49.145573214557,2.6032115603212
"Tee","3","0",49.141993914199,2.6017319601732
"Pin","4","0",49.147018614702,2.6028020602802
"Tee","4","0",49.145865714587,2.6041187604119
"Pin","5","0",49.146169914617,2.6058791605879
"Target","5","1",49.146408414641,2.6046767604677
"Tee","5","0",49.14780161478,2.6025392602539
"Pin","6","0",49.143430314343,2.6079248607925
"Target","6","1",49.144153914415,2.6071679607168
"Tee","6","0",49.146024114602,2.6051141605114
"Pin","7","0",49.146120414612,2.6064524606452
"Target","7","1",49.145526414553,2.6082065608207
"Tee","7","0",49.143313314331,2.6084774608477
"Pin","8","0",49.149184014918,2.6067017606702
"Target","8","1",49.148140014814,2.6081534608153
"Tee","8","0",49.146327414633,2.6071283607128
"Pin","9","0",49.148365914837,2.6028344602834
"Target","9","1",49.148616114862,2.6038586603859
"Tee","9","0",49.149638514964,2.6070131607013
"Pin","10","0",49.14960161496,2.6059808605981
"Target","10","1",49.149211914921,2.6043671604367
"Tee","10","0",49.148415414842,2.6010641601064
"Pin","11","0",49.149694314969,2.6046182604618
"Tee","11","0",49.14979781498,2.6065037606504
"Pin","12","0",49.1510029151,2.5973948597395
"Target","12","1",49.150291915029,2.6014331601433
"Target","12","2",49.15080131508,2.598779959878
"Tee","12","0",49.150108315011,2.6049422604942
"Pin","13","0",49.14969791497,2.5995728599573
"Tee","13","0",49.150230715023,2.5979879597988
"Pin","14","0",49.150010215001,2.5945139594514
"Target","14","1",49.149888714989,2.59580005958
"Tee","14","0",49.149578214958,2.5990976599098
"Pin","15","0",49.148341614834,2.590220059022
"Target","15","1",49.149583614958,2.5920452592045
"Tee","15","0",49.149605214961,2.5951259595126
"Pin","16","0",49.149162414916,2.5952870595287
"Target","16","1",49.148671014867,2.5930226593023
"Tee","16","0",49.147829514783,2.5898816589882
"Pin","17","0",49.148330814833,2.5947821594782
"Tee","17","0",49.149350514935,2.5961825596183
"Pin","18","0",49.1480032148,2.6009435600944
"Target","18","1",49.148409114841,2.5984550598455
"Target","18","2",49.148144514814,2.6003612600361
"Tee","18","0",49.148060814806,2.5949756594976
