"type","hole","numPoint","lat","lon"
"Pin","1","0",50.41349874135,-5.0941184094118
"Target","1","1",50.41430064143,-5.0937125093713
"Tee","1","0",50.416248241625,-5.0924930092493
"Pin","2","0",50.412588841259,-5.095910309591
"Tee","2","0",50.413153141315,-5.0934128093413
"Pin","3","0",50.414618341462,-5.0942768094277
"Target","3","1",50.414009941401,-5.0948168094817
"Tee","3","0",50.412288241229,-5.0966960096696
"Pin","4","0",50.412890341289,-5.0972972097297
"Target","4","1",50.413712941371,-5.0962874096287
"Tee","4","0",50.415286141529,-5.0938286093829
"Pin","5","0",50.412738241274,-5.1017279101728
"Target","5","1",50.412891241289,-5.1002636100264
"Tee","5","0",50.412565441257,-5.0967527096753
"Pin","6","0",50.413476241348,-5.0977229097723
"Target","6","1",50.413649941365,-5.0990684099068
"Tee","6","0",50.412748141275,-5.1020393102039
"Pin","7","0",50.415280741528,-5.0981684098168
"Tee","7","0",50.413949641395,-5.0988713098871
"Pin","8","0",50.418266941827,-5.0960039096004
"Target","8","1",50.416378741638,-5.0977031097703
"Target","8","2",50.417930341793,-5.0963738096374
"Tee","8","0",50.414552641455,-5.0996867099687
"Pin","9","0",50.418932041893,-5.095239809524
"Tee","9","0",50.418266941827,-5.0966852096685
"Pin","10","0",50.418179641818,-5.0907389090739
"Target","10","1",50.418110341811,-5.0919647091965
"Tee","10","0",50.419184941918,-5.0945639094564
"Pin","11","0",50.416367941637,-5.093150009315
"Target","11","1",50.416942141694,-5.0922923092292
"Tee","11","0",50.418340741834,-5.0902934090293
"Pin","12","0",50.41890414189,-5.0944082094408
"Target","12","1",50.418142741814,-5.0937044093704
"Tee","12","0",50.415925141593,-5.0938988093899
"Pin","13","0",50.416025941603,-5.0972864097286
"Target","13","1",50.417238241724,-5.0962019096202
"Tee","13","0",50.419150741915,-5.0947007094701
"Pin","14","0",50.414424841442,-5.0981738098174
"Tee","14","0",50.415791941579,-5.0972459097246
"Pin","15","0",50.417409241741,-5.0948906094891
"Target","15","1",50.415723541572,-5.0962739096274
"Target","15","2",50.41720044172,-5.0949977094998
"Tee","15","0",50.413826341383,-5.0982062098206
"Pin","16","0",50.416470541647,-5.0945450094545
"Tee","16","0",50.417554141755,-5.0946008094601
"Pin","17","0",50.4140045414,-5.0975330097533
"Target","17","1",50.414856841486,-5.0962118096212
"Tee","17","0",50.416533541653,-5.0939276093928
"Pin","18","0",50.416175341618,-5.0929547092955
"Target","18","1",50.41529784153,-5.0945162094516
"Tee","18","0",50.413670641367,-5.0970740097074
