"type","hole","numPoint","lat","lon"
"Pin","1","0",54.280435528044,8.671270467127
"Target","1","1",54.280348228035,8.6725493672549
"Tee","1","0",54.279868527987,8.6763347676335
"Pin","2","0",54.281321128132,8.6689340668934
"Tee","2","0",54.280965628097,8.6715386671539
"Pin","3","0",54.280334728033,8.6710643671064
"Target","3","1",54.28060382806,8.6694254669425
"Tee","3","0",54.281542528154,8.6659010665901
"Pin","4","0",54.280254628025,8.6754545675455
"Target","4","1",54.280373428037,8.6746274674627
"Tee","4","0",54.280778428078,8.6713190671319
"Pin","5","0",54.279813627981,8.6808671680867
"Target","5","1",54.279756027976,8.6800643680064
"Tee","5","0",54.279833427983,8.6761223676122
"Pin","6","0",54.280990828099,8.6867333686733
"Target","6","1",54.280293328029,8.6832692683269
"Target","6","2",54.280846828085,8.6862932686293
"Tee","6","0",54.280205128021,8.679539667954
"Pin","7","0",54.28160012816,8.6836166683617
"Target","7","1",54.281670328167,8.6846867684687
"Tee","7","0",54.281609128161,8.6878547687855
"Pin","8","0",54.280537228054,8.677330167733
"Target","8","1",54.281089828109,8.6808887680889
"Target","8","2",54.280738828074,8.6779925677993
"Tee","8","0",54.281219428122,8.6848262684826
"Pin","9","0",54.28030052803,8.6765435676544
"Tee","9","0",54.280218628022,8.679279567928
