"type","hole","numPoint","lat","lon"
"Pin","1","0",53.311714131171,-3.8384985838499
"Target","1","1",53.312905731291,-3.8390358839036
"Tee","1","0",53.314034331403,-3.8370342837034
"Pin","2","0",53.310332631033,-3.8410950841095
"Target","2","1",53.310949131095,-3.8403120840312
"Tee","2","0",53.311736631174,-3.8369109836911
"Pin","3","0",53.309589230959,-3.8369271836927
"Target","3","1",53.309978030998,-3.8382276838228
"Tee","3","0",53.310278631028,-3.8417709841771
"Pin","4","0",53.308172630817,-3.8376030837603
"Tee","4","0",53.309624330962,-3.8365347836535
"Pin","5","0",53.310073431007,-3.8416152841615
"Target","5","1",53.308879130888,-3.8387280838728
"Target","5","2",53.309922230992,-3.841030284103
"Tee","5","0",53.306630930663,-3.8378919837892
"Pin","6","0",53.307441830744,-3.8392122839212
"Target","6","1",53.308165430817,-3.8399745839975
"Tee","6","0",53.310089631009,-3.8420931842093
"Pin","7","0",53.304393530439,-3.8383968838397
"Target","7","1",53.306225930623,-3.8385129838513
"Target","7","2",53.304663530466,-3.8384760838476
"Tee","7","0",53.308505630851,-3.8390511839051
"Pin","8","0",53.301132830113,-3.8385093838509
"Target","8","1",53.30209763021,-3.8386263838626
"Tee","8","0",53.304262130426,-3.8381979838198
"Pin","9","0",53.30480033048,-3.839179883918
"Target","9","1",53.304242330424,-3.838960283896
"Tee","9","0",53.3020022302,-3.8394750839475
"Pin","10","0",53.307454430745,-3.8403921840392
"Target","10","1",53.306556230656,-3.8397783839778
"Tee","10","0",53.30430353043,-3.8394372839437
"Pin","11","0",53.309894330989,-3.8422533842253
"Target","11","1",53.308832330883,-3.8417250841725
"Tee","11","0",53.306669630667,-3.8404029840403
"Pin","12","0",53.311894131189,-3.8392176839218
"Target","12","1",53.311493631149,-3.8404083840408
"Tee","12","0",53.309925830993,-3.8426349842635
"Pin","13","0",53.311711431171,-3.8415612841561
"Tee","13","0",53.312262231226,-3.8392491839249
"Pin","14","0",53.314428531443,-3.8371143837114
"Target","14","1",53.313049731305,-3.8395659839566
"Target","14","2",53.31409823141,-3.8376273837627
"Tee","14","0",53.311537731154,-3.8424738842474
"Pin","15","0",53.313569931357,-3.8406549840655
"Target","15","1",53.314110831411,-3.8394147839415
"Tee","15","0",53.314614831461,-3.8365779836578
"Pin","16","0",53.312618631262,-3.8419212841921
"Tee","16","0",53.313419631342,-3.8403759840376
"Pin","17","0",53.313413331341,-3.8413740841374
"Tee","17","0",53.312368431237,-3.8417439841744
"Pin","18","0",53.315079231508,-3.8378712837871
"Target","18","1",53.31470483147,-3.8391330839133
"Tee","18","0",53.313249531325,-3.8421192842119
