"type","hole","numPoint","lat","lon"
"Pin","1","0",32.932778093278,-96.789285678929
"Target","1","1",32.932912193291,-96.79009927901
"Tee","1","0",32.932480193248,-96.792693979269
"Pin","2","0",32.936588693659,-96.7940016794
"Target","2","1",32.935547393555,-96.791572579157
"Target","2","2",32.936380793638,-96.793485979349
"Tee","2","0",32.933408093341,-96.790559179056
"Pin","3","0",32.933613293361,-96.791126179113
"Target","3","1",32.934647393465,-96.792309679231
"Tee","3","0",32.936305193631,-96.794214079421
"Pin","4","0",32.936056793606,-96.794548879455
"Target","4","1",32.934924593492,-96.793571479357
"Tee","4","0",32.933378393338,-96.791538379154
"Pin","5","0",32.93720249372,-96.795330979533
"Tee","5","0",32.936209793621,-96.794253679425
"Pin","6","0",32.93350169335,-96.795834079583
"Target","6","1",32.935068593507,-96.796430779643
"Target","6","2",32.933777093378,-96.796128379613
"Tee","6","0",32.937242993724,-96.796261579626
"Pin","7","0",32.929265392927,-96.79630027963
"Target","7","1",32.930575793058,-96.796043779604
"Tee","7","0",32.932877993288,-96.7959987796
"Pin","8","0",32.932823993282,-96.796383979638
"Target","8","1",32.93139749314,-96.79659907966
"Tee","8","0",32.92909889291,-96.796761979676
"Pin","9","0",32.932235393224,-96.793571479357
"Tee","9","0",32.933040893304,-96.795448879545
"Pin","10","0",32.929321192932,-96.795156379516
"Target","10","1",32.930047493005,-96.794418379442
"Tee","10","0",32.9310005931,-96.792192679219
"Pin","11","0",32.932783493278,-96.795593779559
"Target","11","1",32.931379493138,-96.795387679539
"Tee","11","0",32.929080892908,-96.795552379555
"Pin","12","0",32.934734693473,-96.795853879585
"Tee","12","0",32.933390093339,-96.795010579501
"Pin","13","0",32.937194393719,-96.795943879594
"Target","13","1",32.936459093646,-96.795666679567
"Tee","13","0",32.934289193429,-96.79510327951
"Pin","14","0",32.936969393697,-96.790356679036
"Target","14","1",32.937068393707,-96.792530179253
"Target","14","2",32.937126893713,-96.790571779057
"Tee","14","0",32.937386093739,-96.7949997795
"Pin","15","0",32.933561093356,-96.790132579013
"Target","15","1",32.934725693473,-96.790283779028
"Tee","15","0",32.936828993683,-96.789822978982
"Pin","16","0",32.932085093209,-96.791606779161
"Tee","16","0",32.932549493255,-96.789615078962
"Pin","17","0",32.929878292988,-96.789258678926
"Target","17","1",32.930832293083,-96.790007479001
"Tee","17","0",32.931978893198,-96.792041479204
"Pin","18","0",32.931438893144,-96.792260179226
"Target","18","1",32.930826893083,-96.791184679118
"Tee","18","0",32.929241092924,-96.789264078926
