"type","hole","numPoint","lat","lon"
"Pin","1","0",41.52569545257,-87.686831468683
"Target","1","1",41.52309535231,-87.68820216882
"Target","1","2",41.524617252462,-87.687368768737
"Tee","1","0",41.521069452107,-87.689776268978
"Pin","2","0",41.527246152725,-87.682627568263
"Target","2","1",41.527171452717,-87.684618368462
"Tee","2","0",41.525877252588,-87.687227468723
"Pin","3","0",41.527162452716,-87.679210267921
"Target","3","1",41.527643952764,-87.681027368103
"Tee","3","0",41.52770425277,-87.684156668416
"Pin","4","0",41.524621752462,-87.678955567896
"Target","4","1",41.525548752555,-87.678480367848
"Tee","4","0",41.527850952785,-87.678438067844
"Pin","5","0",41.526734052673,-87.678936667894
"Target","5","1",41.525614452561,-87.679116667912
"Tee","5","0",41.523350952335,-87.679677367968
"Pin","6","0",41.526948252695,-87.681284768128
"Tee","6","0",41.526842952684,-87.679231867923
"Pin","7","0",41.525933052593,-87.684207968421
"Target","7","1",41.526264252626,-87.68269686827
"Tee","7","0",41.526360552636,-87.679623367962
"Pin","8","0",41.525949252595,-87.686071868607
"Tee","8","0",41.526730452673,-87.683518568352
"Pin","9","0",41.522091852209,-87.688126568813
"Target","9","1",41.523248352325,-87.68719506872
"Tee","9","0",41.525445252545,-87.686272568627
"Pin","10","0",41.525146452515,-87.685765868577
"Target","10","1",41.523831552383,-87.685987268599
"Tee","10","0",41.521812852181,-87.687466868747
"Pin","11","0",41.525758452576,-87.682182068218
"Target","11","1",41.525372352537,-87.68340156834
"Tee","11","0",41.525619852562,-87.68640396864
"Pin","12","0",41.523138552314,-87.683133368313
"Target","12","1",41.523951252395,-87.682329668233
"Tee","12","0",41.526039252604,-87.68149896815
"Pin","13","0",41.522581452258,-87.682227968223
"Tee","13","0",41.523142152314,-87.683888468389
"Pin","14","0",41.526077952608,-87.679991467999
"Target","14","1",41.524840452484,-87.680706068071
"Tee","14","0",41.522666052267,-87.681874268187
"Pin","15","0",41.522146752215,-87.681944468194
"Target","15","1",41.524092552409,-87.680106668011
"Target","15","2",41.522526552253,-87.681424268142
"Tee","15","0",41.526368652637,-87.679363267936
"Pin","16","0",41.522692152269,-87.683839868384
"Tee","16","0",41.521708452171,-87.681913868191
"Pin","17","0",41.525027652503,-87.682378268238
"Target","17","1",41.523963852396,-87.683565368357
"Tee","17","0",41.522214252221,-87.685647968565
"Pin","18","0",41.522331252233,-87.686128568613
"Target","18","1",41.523846852385,-87.684979268498
"Tee","18","0",41.525322852532,-87.682547468255
