"type","hole","numPoint","lat","lon"
"Pin","1","0",49.34169673417,-0.76191127619113
"Target","1","1",49.339995734,-0.76410367641037
"Target","1","2",49.341376334138,-0.76221367622137
"Tee","1","0",49.339467433947,-0.76767217676722
"Pin","2","0",49.342586834259,-0.76069357606936
"Tee","2","0",49.34139973414,-0.76157017615702
"Pin","3","0",49.342991834299,-0.76511077651108
"Target","3","1",49.343079134308,-0.76389487638949
"Tee","3","0",49.342922534292,-0.76068547606855
"Pin","4","0",49.343663234366,-0.77068987706899
"Target","4","1",49.343281634328,-0.77006167700617
"Tee","4","0",49.342653434265,-0.76725637672564
"Pin","5","0",49.347063434706,-0.76615927661593
"Target","5","1",49.345807034581,-0.76905547690555
"Target","5","2",49.346792534679,-0.76657777665778
"Tee","5","0",49.344507434451,-0.77212447721245
"Pin","6","0",49.349344034934,-0.76138027613803
"Target","6","1",49.349049734905,-0.76362667636267
"Tee","6","0",49.347484634748,-0.76630417663042
"Pin","7","0",49.346237234624,-0.76447807644781
"Target","7","1",49.347565634757,-0.76340167634017
"Tee","7","0",49.348709534871,-0.76077907607791
"Pin","8","0",49.344409334441,-0.76449427644943
"Tee","8","0",49.345831334583,-0.76372657637266
"Pin","9","0",49.340434934044,-0.76744177674418
"Target","9","1",49.341027134103,-0.76718077671808
"Tee","9","0",49.342887434289,-0.76637707663771
"Pin","10","0",49.339077733908,-0.77155387715539
"Tee","10","0",49.339675333968,-0.76924447692445
"Pin","11","0",49.34229613423,-0.77732827773283
"Target","11","1",49.341315134132,-0.77459137745914
"Target","11","2",49.342080134208,-0.77660917766092
"Tee","11","0",49.339612333961,-0.77211907721191
"Pin","12","0",49.338927433893,-0.77891047789105
"Target","12","1",49.339858033986,-0.77840737784074
"Tee","12","0",49.341833534183,-0.77753257775326
"Pin","13","0",49.333459933346,-0.78225307822531
"Target","13","1",49.335423733542,-0.78114967811497
"Target","13","2",49.33419793342,-0.7816869781687
"Tee","13","0",49.337756533776,-0.78079867807987
"Pin","14","0",49.333428433343,-0.77838757783876
"Target","14","1",49.333225033323,-0.77918317791832
"Tee","14","0",49.333162933316,-0.78265267826527
"Pin","15","0",49.33459753346,-0.77922727792273
"Tee","15","0",49.333685833369,-0.77806357780636
"Pin","16","0",49.337927533793,-0.77866927786693
"Target","16","1",49.336556833656,-0.77887537788754
"Tee","16","0",49.334330233433,-0.77999677799968
"Pin","17","0",49.338268633827,-0.77357077735708
"Target","17","1",49.338663733866,-0.77550217755022
"Tee","17","0",49.338586333859,-0.77916067791607
"Pin","18","0",49.339254133925,-0.76916347691635
"Target","18","1",49.338888733889,-0.77012917701292
"Tee","18","0",49.338059833806,-0.77308477730848
