"type","hole","numPoint","lat","lon"
"Pin","1","0",52.308556030856,-2.2494269249427
"Target","1","1",52.307943130794,-2.2496528249653
"Tee","1","0",52.305877630588,-2.2505555250556
"Pin","2","0",52.309037530904,-2.2433483243348
"Target","2","1",52.308705430871,-2.2447019244702
"Tee","2","0",52.308670330867,-2.2481984248198
"Pin","3","0",52.305845230585,-2.2458323245832
"Target","3","1",52.307161930716,-2.2430216243022
"Target","3","2",52.306119730612,-2.2450151245015
"Tee","3","0",52.309339930934,-2.2428767242877
"Pin","4","0",52.305021730502,-2.2478249247825
"Target","4","1",52.305008230501,-2.2467269246727
"Tee","4","0",52.305811930581,-2.2443032244303
"Pin","5","0",52.305311530531,-2.2490561249056
"Tee","5","0",52.305467230547,-2.2470770247077
"Pin","6","0",52.308063730806,-2.2437506243751
"Target","6","1",52.306745230675,-2.2454741245474
"Target","6","2",52.307623630762,-2.2439639243964
"Tee","6","0",52.305622030562,-2.2487609248761
"Pin","7","0",52.306771330677,-2.2469429246943
"Target","7","1",52.307492230749,-2.246639624664
"Tee","7","0",52.308339130834,-2.243949524395
"Pin","8","0",52.308252730825,-2.2478276247828
"Tee","8","0",52.306684930668,-2.2475090247509
"Pin","9","0",52.305752530575,-2.249110124911
"Target","9","1",52.30660213066,-2.2483451248345
"Tee","9","0",52.308614530861,-2.2485089248509
"Pin","10","0",52.307116030712,-2.253269925327
"Target","10","1",52.306480630648,-2.2531979253198
"Tee","10","0",52.30510183051,-2.2510811251081
"Pin","11","0",52.305556330556,-2.2549952254995
"Tee","11","0",52.307026030703,-2.2537721253772
"Pin","12","0",52.301294830129,-2.2546433254643
"Target","12","1",52.303327930333,-2.2542392254239
"Target","12","2",52.301654830165,-2.2545776254578
"Tee","12","0",52.305622030562,-2.2539089253909
"Pin","13","0",52.304173930417,-2.2513493251349
"Target","13","1",52.30339633034,-2.2521152252115
"Tee","13","0",52.301340730134,-2.2534877253488
"Pin","14","0",52.300925830093,-2.2529081252908
"Target","14","1",52.301668330167,-2.2519478251948
"Tee","14","0",52.303783330378,-2.2506392250639
"Pin","15","0",52.299389529939,-2.253160125316
"Target","15","1",52.299918729992,-2.2521035252104
"Tee","15","0",52.301645830165,-2.2512260251226
"Pin","16","0",52.300483030048,-2.2556891255689
"Target","16","1",52.300119430012,-2.255009625501
"Tee","16","0",52.298416629842,-2.253009825301
"Pin","17","0",52.300865530087,-2.253790125379
"Tee","17","0",52.300755730076,-2.2561373256137
"Pin","18","0",52.304924530492,-2.2515806251581
"Target","18","1",52.303478230348,-2.2530764253076
"Target","18","2",52.304734630473,-2.2524392252439
"Tee","18","0",52.301248930125,-2.2540214254021
