"type","hole","numPoint","lat","lon"
"Pin","1","0",44.667174566717,-116.11552401155
"Target","1","1",44.666652566665,-116.11860021186
"Target","1","2",44.667130466713,-116.11608741161
"Tee","1","0",44.666486066649,-116.12165571217
"Pin","2","0",44.667394166739,-116.1209744121
"Target","2","1",44.667322166732,-116.11854711185
"Tee","2","0",44.668135766814,-116.11551861155
"Pin","3","0",44.668036766804,-116.11909161191
"Tee","3","0",44.667857666786,-116.12152971215
"Pin","4","0",44.667638066764,-116.11319841132
"Target","4","1",44.66920496692,-116.11563291156
"Target","4","2",44.668545266855,-116.11332621133
"Tee","4","0",44.668423766842,-116.11867851187
"Pin","5","0",44.664681566468,-116.11380951138
"Target","5","1",44.666029766603,-116.11351341135
"Tee","5","0",44.6679962668,-116.11183041118
"Pin","6","0",44.663468366347,-116.11257921126
"Tee","6","0",44.663526866353,-116.11519371152
"Pin","7","0",44.659996166,-116.11462041146
"Target","7","1",44.660964566096,-116.11382571138
"Tee","7","0",44.662739366274,-116.11176381118
"Pin","8","0",44.658505765851,-116.11533321153
"Tee","8","0",44.659879165988,-116.1159533116
"Pin","9","0",44.653537765354,-116.11375911138
"Target","9","1",44.655827365583,-116.11443591144
"Target","9","2",44.654371165437,-116.11406241141
"Tee","9","0",44.657839765784,-116.1160091116
"Pin","10","0",44.650844965084,-116.11520451152
"Target","10","1",44.651954665195,-116.11530891153
"Tee","10","0",44.653365865337,-116.11305081131
"Pin","11","0",44.651310265131,-116.11971081197
"Target","11","1",44.651422765142,-116.11791891179
"Tee","11","0",44.650330165033,-116.11526931153
"Pin","12","0",44.654159665416,-116.11752471175
"Target","12","1",44.652033865203,-116.11794141179
"Target","12","2",44.653254265325,-116.11725021173
"Tee","12","0",44.652008665201,-116.12117781212
"Pin","13","0",44.654758165476,-116.11622421162
"Tee","13","0",44.654943565494,-116.11834551183
"Pin","14","0",44.658717265872,-116.11662111166
"Target","14","1",44.657378065738,-116.1169586117
"Tee","14","0",44.655191965519,-116.11594521159
"Pin","15","0",44.662536866254,-116.1140246114
"Target","15","1",44.661176066118,-116.11443951144
"Tee","15","0",44.659890865989,-116.11705581171
"Pin","16","0",44.662655666266,-116.11858671186
"Target","16","1",44.662049966205,-116.11770741177
"Tee","16","0",44.662485566249,-116.11464651146
"Pin","17","0",44.664109166411,-116.1179810118
"Tee","17","0",44.66249906625,-116.11949391195
"Pin","18","0",44.667241166724,-116.12270961227
"Target","18","1",44.665162166516,-116.12182041218
"Target","18","2",44.666758766676,-116.12237391224
"Tee","18","0",44.664066866407,-116.11910421191
