"type","hole","numPoint","lat","lon"
"Pin","1","0",43.196875919688,-124.39032373903
"Target","1","1",43.196132519613,-124.39032643903
"Tee","1","0",43.193851019385,-124.38990523899
"Pin","2","0",43.199225819923,-124.39229743923
"Target","2","1",43.198634519863,-124.39177903918
"Tee","2","0",43.196974019697,-124.38959113896
"Pin","3","0",43.203453120345,-124.39458883946
"Target","3","1",43.201821420182,-124.39333423933
"Target","3","2",43.203118320312,-124.39442503944
"Tee","3","0",43.199564219956,-124.39270513927
"Pin","4","0",43.198808219881,-124.39657063966
"Target","4","1",43.200247320025,-124.39605313961
"Tee","4","0",43.202528820253,-124.39562653956
"Pin","5","0",43.196848919685,-124.39553833955
"Tee","5","0",43.198413119841,-124.39619263962
"Pin","6","0",43.199143919914,-124.3930111393
"Target","6","1",43.198774019877,-124.39330273933
"Tee","6","0",43.197075719708,-124.39508473951
"Pin","7","0",43.194689819469,-124.3909510391
"Target","7","1",43.196145119614,-124.39125433913
"Tee","7","0",43.198318619832,-124.39229473923
"Pin","8","0",43.197676019768,-124.39264393926
"Target","8","1",43.19670401967,-124.39283203928
"Tee","8","0",43.194531419453,-124.39178533918
"Pin","9","0",43.195726619573,-124.39450783945
"Target","9","1",43.196574419657,-124.39411993941
"Tee","9","0",43.198520219852,-124.39243153924
"Pin","10","0",43.196840819684,-124.39669663967
"Tee","10","0",43.195333319533,-124.39573363957
"Pin","11","0",43.197730019773,-124.39669393967
"Tee","11","0",43.196559119656,-124.39714483971
"Pin","12","0",43.202487420249,-124.3949695395
"Target","12","1",43.200508320051,-124.39482013948
"Target","12","2",43.202149020215,-124.39465633947
"Tee","12","0",43.198240319824,-124.39536913954
"Pin","13","0",43.206718320672,-124.39460413946
"Target","13","1",43.205207220521,-124.39468693947
"Tee","13","0",43.202939220294,-124.39523503952
"Pin","14","0",43.205093820509,-124.39385893939
"Tee","14","0",43.206278220628,-124.39372213937
"Pin","15","0",43.200539820054,-124.39128403913
"Target","15","1",43.202530620253,-124.39235053924
"Target","15","2",43.200894420089,-124.39129213913
"Tee","15","0",43.204675320468,-124.39349983935
"Pin","16","0",43.198053119805,-124.39010683901
"Target","16","1",43.198528319853,-124.39012123901
"Tee","16","0",43.200219420022,-124.39226593923
"Pin","17","0",43.199521019952,-124.38821593882
"Tee","17","0",43.198054919805,-124.38938503894
"Pin","18","0",43.194271319427,-124.38908443891
"Target","18","1",43.19680301968,-124.38886033889
"Target","18","2",43.1949967195,-124.3889917389
"Tee","18","0",43.198840619884,-124.38738973874
