"type","hole","numPoint","lat","lon"
"Pin","1","0",-27.031319103132,153.14290201429
"Target","1","1",-27.03179610318,153.14552551455
"Target","1","2",-27.031693503169,153.14377501438
"Tee","1","0",-27.032312703231,153.14775931478
"Pin","2","0",-27.029065502907,153.14116861412
"Target","2","1",-27.02990430299,153.14185351419
"Tee","2","0",-27.031658403166,153.14264911426
"Pin","3","0",-27.024984902498,153.1389825139
"Target","3","1",-27.027029702703,153.13962151396
"Target","3","2",-27.025709402571,153.13910581391
"Tee","3","0",-27.029133002913,153.14078251408
"Pin","4","0",-27.023109302311,153.14058721406
"Tee","4","0",-27.024385502439,153.13939831394
"Pin","5","0",-27.021362402136,153.1440063144
"Target","5","1",-27.021183302118,153.14233141423
"Tee","5","0",-27.022667402267,153.14073481407
"Pin","6","0",-27.024712202471,153.14168971417
"Target","6","1",-27.023749202375,153.14244841424
"Tee","6","0",-27.02220390222,153.14430151443
"Pin","7","0",-27.0260001026,153.14150701415
"Tee","7","0",-27.024860702486,153.14085541409
"Pin","8","0",-27.029816102982,153.14246461425
"Target","8","1",-27.028656002866,153.14292001429
"Tee","8","0",-27.026857802686,153.1420056142
"Pin","9","0",-27.030291303029,153.14658121466
"Target","9","1",-27.029907002991,153.14541931454
"Tee","9","0",-27.029909702991,153.14283451428
"Pin","10","0",-27.02790000279,153.14693851469
"Target","10","1",-27.029007902901,153.14718061472
"Tee","10","0",-27.030738603074,153.14866831487
"Pin","11","0",-27.022690802269,153.14545531455
"Target","11","1",-27.025061402506,153.14577841458
"Target","11","2",-27.023265002327,153.14527981453
"Tee","11","0",-27.027286202729,153.14674231467
"Pin","12","0",-27.022959002296,153.14830111483
"Target","12","1",-27.022865402287,153.14723371472
"Tee","12","0",-27.022194002219,153.14510071451
"Pin","13","0",-27.023383802338,153.150036315
"Tee","13","0",-27.023006702301,153.14870881487
"Pin","14","0",-27.022856402286,153.14579551458
"Target","14","1",-27.023610602361,153.1480392148
"Target","14","2",-27.023292902329,153.14655871466
"Tee","14","0",-27.023988602399,153.15058891506
"Pin","15","0",-27.026829902683,153.14705641471
"Target","15","1",-27.025450202545,153.14674591467
"Tee","15","0",-27.023451302345,153.14589541459
"Pin","16","0",-27.030358803036,153.1490040149
"Target","16","1",-27.02970360297,153.14848381485
"Tee","16","0",-27.027589502759,153.14746141475
"Pin","17","0",-27.028671302867,153.1510398151
"Tee","17","0",-27.030048303005,153.14963401496
"Pin","18","0",-27.030886203089,153.14935231494
"Target","18","1",-27.030033003003,153.15050611505
"Tee","18","0",-27.028207802821,153.15208291521
