"type","hole","numPoint","lat","lon"
"Pin","1","0",30.371255437126,-9.6008139600814
"Target","1","1",30.371192437119,-9.5984406598441
"Target","1","2",30.371218537122,-9.6003945600395
"Tee","1","0",30.372326437233,-9.5961177596118
"Pin","2","0",30.372946537295,-9.6026220602622
"Tee","2","0",30.37159563716,-9.6014043601404
"Pin","3","0",30.376038937604,-9.6033006603301
"Target","3","1",30.374824837482,-9.6029829602983
"Tee","3","0",30.372669337267,-9.603919860392
"Pin","4","0",30.37920153792,-9.6021684602168
"Target","4","1",30.377790337779,-9.6028137602814
"Tee","4","0",30.37559613756,-9.6036255603626
"Pin","5","0",30.3740040374,-9.6018867601887
"Target","5","1",30.376456537646,-9.6022746602275
"Target","5","2",30.374919337492,-9.6019515601952
"Tee","5","0",30.378738937874,-9.6019218601922
"Pin","6","0",30.376975837698,-9.6009885600989
"Target","6","1",30.376061437606,-9.6014070601407
"Tee","6","0",30.373770937377,-9.6011361601136
"Pin","7","0",30.379007137901,-9.598030259803
"Target","7","1",30.378129637813,-9.5979438597944
"Tee","7","0",30.376388137639,-9.5994621599462
"Pin","8","0",30.377364637736,-9.5972337597234
"Tee","8","0",30.378979237898,-9.5973219597322
"Pin","9","0",30.374230837423,-9.5958063595806
"Target","9","1",30.375388237539,-9.5961285596129
"Tee","9","0",30.377563537756,-9.5956110595611
"Pin","10","0",30.375092137509,-9.5996637599664
"Target","10","1",30.374210137421,-9.5979429597943
"Target","10","2",30.374988637499,-9.5992308599231
"Tee","10","0",30.372735937274,-9.5958927595893
"Pin","11","0",30.372492937249,-9.6000444600044
"Target","11","1",30.373266937327,-9.600409860041
"Tee","11","0",30.375445837545,-9.6004575600458
"Pin","12","0",30.372053737205,-9.5984649598465
"Tee","12","0",30.371829637183,-9.6001947600195
"Pin","13","0",30.374749237475,-9.599789759979
"Target","13","1",30.373919437392,-9.5991147599115
"Tee","13","0",30.372606337261,-9.5969223596922
"Pin","14","0",30.376977637698,-9.6003369600337
"Tee","14","0",30.375635737564,-9.6005241600524
"Pin","15","0",30.381726038173,-9.6011550601155
"Target","15","1",30.379685737969,-9.6009426600943
"Target","15","2",30.381120338112,-9.6008211600821
"Tee","15","0",30.377382637738,-9.600930060093
"Pin","16","0",30.380224838022,-9.5995539599554
"Tee","16","0",30.381684638168,-9.6004386600439
"Pin","17","0",30.377070337707,-9.5992587599259
"Target","17","1",30.378909037891,-9.599409959941
"Target","17","2",30.377737237774,-9.5989626598963
"Tee","17","0",30.381194138119,-9.5990787599079
"Pin","18","0",30.373620637362,-9.5962464596246
"Target","18","1",30.374912137491,-9.5969889596989
"Tee","18","0",30.376040737604,-9.5993145599315
