"type","hole","numPoint","lat","lon"
"Pin","1","0",53.95879709588,-1.5219442521944
"Target","1","1",53.958513595851,-1.524030452403
"Tee","1","0",53.957882695788,-1.5277942527794
"Pin","2","0",53.960248796025,-1.5178969517897
"Target","2","1",53.95959899596,-1.5192811519281
"Tee","2","0",53.959061695906,-1.5230143523014
"Pin","3","0",53.959369495937,-1.5182641518264
"Tee","3","0",53.960529596053,-1.5170707517071
"Pin","4","0",53.957607295761,-1.5242482524248
"Target","4","1",53.958150895815,-1.5218362521836
"Target","4","2",53.957660395766,-1.5238360523836
"Tee","4","0",53.959467595947,-1.5186268518627
"Pin","5","0",53.958443395844,-1.51930005193
"Target","5","1",53.957809795781,-1.5205393520539
"Tee","5","0",53.95729949573,-1.5242833524283
"Pin","6","0",53.960936396094,-1.5153031515303
"Target","6","1",53.959620595962,-1.5161833516183
"Tee","6","0",53.958149995815,-1.5191947519195
"Pin","7","0",53.958050095805,-1.5140080514008
"Target","7","1",53.95880339588,-1.5148234514823
"Tee","7","0",53.961064196106,-1.5147505514751
"Pin","8","0",53.960854496085,-1.5141556514156
"Target","8","1",53.960229896023,-1.5138433513843
"Tee","8","0",53.957984395798,-1.5133879513388
"Pin","9","0",53.958561295856,-1.5117463511746
"Target","9","1",53.959287595929,-1.5123610512361
"Tee","9","0",53.961466496147,-1.5136237513624
"Pin","10","0",53.957767495777,-1.5128866512887
"Tee","10","0",53.958476695848,-1.5113494511349
"Pin","11","0",53.954674195467,-1.5173659517366
"Target","11","1",53.956130395613,-1.5155920515592
"Target","11","2",53.954918995492,-1.5166315516632
"Tee","11","0",53.957737795774,-1.5134149513415
"Pin","12","0",53.957922295792,-1.5147235514724
"Target","12","1",53.956682995668,-1.5160393516039
"Tee","12","0",53.954847895485,-1.5184036518404
"Pin","13","0",53.955245695525,-1.5193612519361
"Target","13","1",53.956448995645,-1.517460451746
"Target","13","2",53.955413995541,-1.5191605519161
"Tee","13","0",53.958225595823,-1.5149710514971
"Pin","14","0",53.957635195764,-1.5174919517492
"Target","14","1",53.957043895704,-1.5179869517987
"Tee","14","0",53.955161995516,-1.5199894519989
"Pin","15","0",53.958893395889,-1.5156973515697
"Tee","15","0",53.957393995739,-1.5171994517199
"Pin","16","0",53.956248295625,-1.5201793520179
"Target","16","1",53.957687395769,-1.51849995185
"Target","16","2",53.956429195643,-1.5198265519827
"Tee","16","0",53.959284895928,-1.5156811515681
"Pin","17","0",53.95669649567,-1.5225877522588
"Tee","17","0",53.95720409572,-1.5199462519946
"Pin","18","0",53.957390395739,-1.527740252774
"Target","18","1",53.957190595719,-1.5266134526613
"Tee","18","0",53.956838695684,-1.5229585522959
