"type","hole","numPoint","lat","lon"
"Pin","1","0",47.427076142708,18.625181462518
"Target","1","1",47.427848342785,18.624217562422
"Tee","1","0",47.429606042961,18.622018862202
"Pin","2","0",47.427722342772,18.6220008622
"Target","2","1",47.427564842756,18.623112362311
"Tee","2","0",47.42610414261,18.625074362507
"Pin","3","0",47.425827842583,18.623808062381
"Tee","3","0",47.426969042697,18.621638162164
"Pin","4","0",47.423082842308,18.627083162708
"Target","4","1",47.42429604243,18.626130062613
"Tee","4","0",47.425513742551,18.623241962324
"Pin","5","0",47.420840942084,18.6309990631
"Target","5","1",47.421385442139,18.627659162766
"Target","5","2",47.420680742068,18.629856062986
"Tee","5","0",47.423340242334,18.625640462564
"Pin","6","0",47.422683242268,18.628193762819
"Target","6","1",47.422145042215,18.629226962923
"Tee","6","0",47.421191942119,18.632257263226
"Pin","7","0",47.425628042563,18.625060862506
"Target","7","1",47.425141142514,18.626643062664
"Tee","7","0",47.423136842314,18.628191062819
"Pin","8","0",47.426054642605,18.627493562749
"Tee","8","0",47.426240042624,18.625522562552
"Pin","9","0",47.430442143044,18.622258262226
"Target","9","1",47.428857242886,18.62449836245
"Target","9","2",47.429993942999,18.622657862266
"Tee","9","0",47.426886242689,18.626372162637
"Pin","10","0",47.42909754291,18.62720376272
"Target","10","1",47.429837342984,18.626180462618
"Tee","10","0",47.431447443145,18.623746862375
"Pin","11","0",47.428515242852,18.628815662882
"Tee","11","0",47.42860074286,18.626740262674
"Pin","12","0",47.425412942541,18.632214063221
"Target","12","1",47.426588342659,18.631663263166
"Tee","12","0",47.428524242852,18.629821862982
"Pin","13","0",47.42220264222,18.633381363338
"Target","13","1",47.423078342308,18.633678363368
"Tee","13","0",47.425084442508,18.632774763277
"Pin","14","0",47.424947642495,18.628105562811
"Target","14","1",47.423059442306,18.629562662956
"Target","14","2",47.424621842462,18.628476362848
"Tee","14","0",47.421719342172,18.63240486324
"Pin","15","0",47.423086442309,18.631460763146
"Target","15","1",47.423522942352,18.630220563022
"Tee","15","0",47.425457942546,18.628376462838
"Pin","16","0",47.427479342748,18.628968662897
"Target","16","1",47.425417442542,18.630751563075
"Target","16","2",47.427149042715,18.629351162935
"Tee","16","0",47.423347442335,18.63250116325
"Pin","17","0",47.427987842799,18.626779862678
"Tee","17","0",47.427662942766,18.628405262841
"Pin","18","0",47.430857943086,18.623218562322
"Target","18","1",47.429984042998,18.624220262422
"Tee","18","0",47.428359542836,18.626632262663
