"type","hole","numPoint","lat","lon"
"Pin","1","0",-40.891319589132,174.98770779877
"Target","1","1",-40.892092689209,174.98656749866
"Tee","1","0",-40.892542689254,174.98357949836
"Pin","2","0",-40.89030168903,174.9880425988
"Tee","2","0",-40.891591389159,174.98661879866
"Pin","3","0",-40.888108388811,174.99107109911
"Target","3","1",-40.88910378891,174.98957349896
"Tee","3","0",-40.890524889052,174.98717679872
"Pin","4","0",-40.890738189074,174.98824689882
"Target","4","1",-40.889819288982,174.98954829895
"Tee","4","0",-40.888105688811,174.99158319916
"Pin","5","0",-40.890223389022,174.99053199905
"Tee","5","0",-40.891317789132,174.98924049892
"Pin","6","0",-40.88940348894,174.9940185994
"Target","6","1",-40.889470988947,174.99350379935
"Tee","6","0",-40.889864288986,174.99050229905
"Pin","7","0",-40.891648089165,174.98985609899
"Target","7","1",-40.890491589049,174.99170379917
"Target","7","2",-40.891457289146,174.99021969902
"Tee","7","0",-40.889458388946,174.99436509944
"Pin","8","0",-40.89270468927,174.98718489872
"Target","8","1",-40.892573289257,174.98820459882
"Tee","8","0",-40.890774189077,174.99010539901
"Pin","9","0",-40.892808189281,174.98393679839
"Target","9","1",-40.893036789304,174.98541729854
"Tee","9","0",-40.891976589198,174.98761959876
"Pin","10","0",-40.890407889041,174.98458839846
"Target","10","1",-40.890781389078,174.98422929842
"Tee","10","0",-40.892662389266,174.98313219831
"Pin","11","0",-40.888138088814,174.9870264987
"Target","11","1",-40.889016488902,174.98591139859
"Tee","11","0",-40.89109908911,174.98461269846
"Pin","12","0",-40.885771988577,174.99037359904
"Target","12","1",-40.88710218871,174.98863479886
"Target","12","2",-40.885941188594,174.99009729901
"Tee","12","0",-40.888888688889,174.98671239867
"Pin","13","0",-40.888063388806,174.99359829936
"Target","13","1",-40.887064388706,174.99232119923
"Tee","13","0",-40.885171688517,174.99058599906
"Pin","14","0",-40.889131688913,174.99459819946
"Tee","14","0",-40.8880003888,174.9939816994
"Pin","15","0",-40.887661988766,174.99117549912
"Target","15","1",-40.887930188793,174.99224109922
"Tee","15","0",-40.889379188938,174.99446679945
"Pin","16","0",-40.886319188632,174.9910152991
"Tee","16","0",-40.887464888747,174.99082719908
"Pin","17","0",-40.889073188907,174.98756559876
"Target","17","1",-40.888429688843,174.98930349893
"Tee","17","0",-40.886530688653,174.99071739907
"Pin","18","0",-40.891830789183,174.98460459846
"Target","18","1",-40.890653589065,174.98639199864
"Target","18","2",-40.891636389164,174.98507709851
"Tee","18","0",-40.888472888847,174.98736939874
