"type","hole","numPoint","lat","lon"
"Pin","1","0",41.853260385326,2.7596630759663
"Target","1","1",41.854478085448,2.7600374760037
"Tee","1","0",41.856107085611,2.7622217762222
"Pin","2","0",41.855168385517,2.7620507762051
"Target","2","1",41.85420448542,2.7613370761337
"Tee","2","0",41.852277585228,2.7605486760549
"Pin","3","0",41.850281385028,2.7618680761868
"Target","3","1",41.852331585233,2.761789776179
"Target","3","2",41.850978885098,2.7616439761644
"Tee","3","0",41.85460048546,2.7623135762314
"Pin","4","0",41.852341485234,2.7597512759751
"Target","4","1",41.851356885136,2.7601382760138
"Tee","4","0",41.849442584944,2.7618545761855
"Pin","5","0",41.851308285131,2.7592445759245
"Tee","5","0",41.85289678529,2.7584561758456
"Pin","6","0",41.851833885183,2.7551594755159
"Target","6","1",41.851678185168,2.7568532756853
"Tee","6","0",41.850507285051,2.7591887759189
"Pin","7","0",41.856036885604,2.7575687757569
"Target","7","1",41.854094685409,2.756360075636
"Target","7","2",41.855562585556,2.7568973756897
"Tee","7","0",41.852227185223,2.7547463754746
"Pin","8","0",41.853656385366,2.7579062757906
"Tee","8","0",41.855158485516,2.7578846757885
"Pin","9","0",41.856454485645,2.7612164761216
"Target","9","1",41.855376285538,2.759590175959
"Tee","9","0",41.853256785326,2.7585335758534
"Pin","10","0",41.852533185253,2.7633107763311
"Target","10","1",41.853783285378,2.7630830763083
"Tee","10","0",41.856085485609,2.7630371763037
"Pin","11","0",41.851026585103,2.7627365762737
"Tee","11","0",41.852229885223,2.764029876403
"Pin","12","0",41.851913985191,2.7691049769105
"Target","12","1",41.851567485157,2.7664427766443
"Target","12","2",41.851763685176,2.7686351768635
"Tee","12","0",41.851013085101,2.7634421763442
"Pin","13","0",41.850924885092,2.7657065765707
"Target","13","1",41.851074285107,2.7669377766938
"Tee","13","0",41.851370385137,2.7700031770003
"Pin","14","0",41.850646785065,2.7699518769952
"Target","14","1",41.85049558505,2.7681941768194
"Tee","14","0",41.850141885014,2.765140476514
"Pin","15","0",41.855092785509,2.7716393771639
"Target","15","1",41.853494385349,2.7704135770414
"Target","15","2",41.854844385484,2.7715736771574
"Tee","15","0",41.851232685123,2.7704054770405
"Pin","16","0",41.854632885463,2.7692759769276
"Tee","16","0",41.855530185553,2.7711191771119
"Pin","17","0",41.852457585246,2.7659126765913
"Target","17","1",41.853922785392,2.7664589766459
"Tee","17","0",41.855527485553,2.7686756768676
"Pin","18","0",41.856077385608,2.7640190764019
"Target","18","1",41.854818285482,2.7648425764843
"Tee","18","0",41.852529585253,2.7651719765172
