"type","hole","numPoint","lat","lon"
"Pin","1","0",33.644478364448,-116.25558922556
"Target","1","1",33.643580164358,-116.25629302563
"Tee","1","0",33.642015964202,-116.25832162583
"Pin","2","0",33.641191564119,-116.25425812543
"Target","2","1",33.64249836425,-116.25420232542
"Tee","2","0",33.64479966448,-116.25429052543
"Pin","3","0",33.639909963991,-116.25264622526
"Tee","3","0",33.640414864041,-116.25444082544
"Pin","4","0",33.644382964438,-116.25232762523
"Target","4","1",33.642256264226,-116.25209452521
"Target","4","2",33.643860064386,-116.25212062521
"Tee","4","0",33.639914463991,-116.2519919252
"Pin","5","0",33.648055864806,-116.25237532524
"Target","5","1",33.647423164742,-116.25220342522
"Tee","5","0",33.645123664512,-116.25235102524
"Pin","6","0",33.652230965223,-116.25244552524
"Target","6","1",33.650857565086,-116.25254812525
"Tee","6","0",33.648486964849,-116.25223852522
"Pin","7","0",33.648129664813,-116.25482422548
"Target","7","1",33.649961164996,-116.25379102538
"Target","7","2",33.648438364844,-116.25465952547
"Tee","7","0",33.652194965219,-116.25312142531
"Pin","8","0",33.646463764646,-116.2549988255
"Tee","8","0",33.647785864779,-116.25445432545
"Pin","9","0",33.641547064155,-116.25747742575
"Target","9","1",33.642453364245,-116.25618142562
"Tee","9","0",33.644525164453,-116.25476302548
"Pin","10","0",33.637781463778,-116.25725152573
"Target","10","1",33.638267463827,-116.2580399258
"Tee","10","0",33.640143964014,-116.25946462595
"Pin","11","0",33.636359463636,-116.25180382518
"Target","11","1",33.63629916363,-116.25425272543
"Target","11","2",33.63629916363,-116.25217912522
"Tee","11","0",33.637469163747,-116.25663502566
"Pin","12","0",33.635544063554,-116.24807602481
"Tee","12","0",33.635563863556,-116.24990212499
"Pin","13","0",33.638762463876,-116.24721742472
"Target","13","1",33.637641963764,-116.24716792472
"Tee","13","0",33.635347863535,-116.24740012474
"Pin","14","0",33.639222363922,-116.24307652431
"Target","14","1",33.639069363907,-116.24458942446
"Tee","14","0",33.639311463931,-116.24738932474
"Pin","15","0",33.640633564063,-116.24874382487
"Target","15","1",33.640963864096,-116.24611762461
"Target","15","2",33.64109976411,-116.24833432483
"Tee","15","0",33.640923364092,-116.24325292433
"Pin","16","0",33.637335063733,-116.24922352492
"Target","16","1",33.63859866386,-116.24938732494
"Tee","16","0",33.640935064093,-116.24961592496
"Pin","17","0",33.638217063822,-116.25371092537
"Tee","17","0",33.638147763815,-116.25168862517
"Pin","18","0",33.641113264111,-116.25769162577
"Target","18","1",33.639922563992,-116.25692212569
"Tee","18","0",33.638634663863,-116.25456952546
