"type","hole","numPoint","lat","lon"
"Pin","1","0",60.076059907606,24.273674727367
"Target","1","1",60.074907007491,24.276784227678
"Target","1","2",60.075672007567,24.274052727405
"Tee","1","0",60.075369607537,24.281136628114
"Pin","2","0",60.072848707285,24.269984726998
"Target","2","1",60.073630807363,24.272645127265
"Tee","2","0",60.075926707593,24.2729988273
"Pin","3","0",60.072715507272,24.265853726585
"Tee","3","0",60.072439207244,24.268847126885
"Pin","4","0",60.070140607014,24.260827226083
"Target","4","1",60.070662607066,24.262379726238
"Tee","4","0",60.072586807259,24.264915026492
"Pin","5","0",60.073351807335,24.26489882649
"Target","5","1",60.072266407227,24.263248226325
"Tee","5","0",60.07049610705,24.26029622603
"Pin","6","0",60.074360707436,24.260124326012
"Tee","6","0",60.073633507363,24.263434526343
"Pin","7","0",60.073807207381,24.266572826657
"Target","7","1",60.074061907406,24.264631526463
"Tee","7","0",60.074858407486,24.26030162603
"Pin","8","0",60.076480207648,24.272328327233
"Target","8","1",60.074191507419,24.27090452709
"Target","8","2",60.075908707591,24.272043027204
"Tee","8","0",60.073046707305,24.26689952669
"Pin","9","0",60.075677407568,24.279737127974
"Target","9","1",60.075735907574,24.277324227732
"Tee","9","0",60.076646707665,24.273085227309
"Pin","10","0",60.076732207673,24.274431627443
"Target","10","1",60.07690410769,24.276407127641
"Tee","10","0",60.076135507614,24.280670428067
"Pin","11","0",60.077007607701,24.271459827146
"Tee","11","0",60.077170507717,24.273514527351
"Pin","12","0",60.075556807556,24.262173626217
"Target","12","1",60.075183307518,24.267562826756
"Target","12","2",60.075339907534,24.263619026362
"Tee","12","0",60.076512607651,24.271331127133
"Pin","13","0",60.078546607855,24.260118926012
"Target","13","1",60.077478307748,24.260214326021
"Tee","13","0",60.07519860752,24.260859626086
"Pin","14","0",60.077593507759,24.267183926718
"Target","14","1",60.077390107739,24.264742226474
"Tee","14","0",60.078918307892,24.261288926129
"Pin","15","0",60.076763707676,24.263385926339
"Tee","15","0",60.076924807692,24.267275726728
"Pin","16","0",60.077074207707,24.269968526997
"Target","16","1",60.075918607592,24.265824026582
"Target","16","2",60.076671907667,24.269390726939
"Tee","16","0",60.076469407647,24.261342026134
"Pin","17","0",60.077868907787,24.277129827713
"Target","17","1",60.077749207775,24.275392827539
"Tee","17","0",60.077582707758,24.270789327079
"Pin","18","0",60.075434407543,24.282258028226
"Target","18","1",60.076327207633,24.281607328161
"Tee","18","0",60.07780230778,24.278063127806
