"type","hole","numPoint","lat","lon"
"Pin","1","0",60.072329407233,24.278905527891
"Target","1","1",60.073080907308,24.279354627935
"Tee","1","0",60.074521807452,24.282408328241
"Pin","2","0",60.072209707221,24.271781127178
"Target","2","1",60.07250130725,24.273474027347
"Tee","2","0",60.072268207227,24.277983027798
"Pin","3","0",60.071382607138,24.270091827009
"Tee","3","0",60.071778607178,24.273208527321
"Pin","4","0",60.069629406963,24.277548327755
"Target","4","1",60.070286407029,24.272260827226
"Target","4","2",60.069683406968,24.276027327603
"Tee","4","0",60.071481607148,24.268316126832
"Pin","5","0",60.069709506971,24.271593927159
"Target","5","1",60.06929820693,24.273887127389
"Tee","5","0",60.069149706915,24.278492427849
"Pin","6","0",60.071856007186,24.264978926498
"Target","6","1",60.070771507077,24.26829902683
"Target","6","2",60.071667907167,24.265835726584
"Tee","6","0",60.069037206904,24.271336527134
"Pin","7","0",60.072180007218,24.26920082692
"Tee","7","0",60.072112507211,24.266181326618
"Pin","8","0",60.073049407305,24.276464727646
"Target","8","1",60.073339207334,24.274405527441
"Tee","8","0",60.072380707238,24.270853227085
"Pin","9","0",60.074591107459,24.281415628142
"Target","9","1",60.074555107456,24.280014328001
"Tee","9","0",60.072623707262,24.277655427766
"Pin","10","0",60.072629107263,24.285664528566
"Target","10","1",60.073525507353,24.286272928627
"Tee","10","0",60.075806107581,24.285637528564
"Pin","11","0",60.072324007232,24.288711928871
"Tee","11","0",60.072177307218,24.285809428581
"Pin","12","0",60.072688507269,24.295159529516
"Target","12","1",60.07290090729,24.291955529196
"Target","12","2",60.072738907274,24.294655529466
"Tee","12","0",60.072576007258,24.287386228739
"Pin","13","0",60.07319700732,24.289821628982
"Target","13","1",60.073788307379,24.29180072918
"Tee","13","0",60.07339770734,24.29609822961
"Pin","14","0",60.075830407583,24.29069642907
"Target","14","1",60.074808907481,24.290621729062
"Tee","14","0",60.072824407282,24.289022428902
"Pin","15","0",60.078145207815,24.286983928698
"Target","15","1",60.077221807722,24.287773228777
"Tee","15","0",60.0760041076,24.291093329109
"Pin","16","0",60.073153807315,24.288743428874
"Target","16","1",60.075357007536,24.289464328946
"Target","16","2",60.073612807361,24.288881128888
"Tee","16","0",60.077021107702,24.287043328704
"Pin","17","0",60.076276807628,24.286983928698
"Target","17","1",60.075108607511,24.287848828785
"Tee","17","0",60.073134907313,24.287777728778
"Pin","18","0",60.075024907502,24.286753528675
"Tee","18","0",60.076215607622,24.286238728624
