"type","hole","numPoint","lat","lon"
"Pin","1","0",35.186254118625,-79.4679982468
"Target","1","1",35.186615918662,-79.468082846808
"Tee","1","0",35.188439318844,-79.469129546913
"Pin","2","0",35.187843518784,-79.470221247022
"Target","2","1",35.18730441873,-79.469846846985
"Tee","2","0",35.185263218526,-79.468655246866
"Pin","3","0",35.187443918744,-79.473767247377
"Target","3","1",35.187262118726,-79.473077847308
"Tee","3","0",35.188158518816,-79.470647847065
"Pin","4","0",35.185727618573,-79.470417447042
"Target","4","1",35.186246918625,-79.471378647138
"Tee","4","0",35.187187418719,-79.473949947395
"Pin","5","0",35.185028318503,-79.473981447398
"Target","5","1",35.185189418519,-79.472887947289
"Tee","5","0",35.185392818539,-79.470081747008
"Pin","6","0",35.182351718235,-79.475379147538
"Target","6","1",35.183065418307,-79.474507047451
"Tee","6","0",35.184953618495,-79.474639347464
"Pin","7","0",35.183119418312,-79.477061247706
"Tee","7","0",35.182518218252,-79.475733747573
"Pin","8","0",35.1849977185,-79.479340947934
"Target","8","1",35.184491918449,-79.479148347915
"Tee","8","0",35.183064518306,-79.477554447755
"Pin","9","0",35.183722418372,-79.479389547939
"Tee","9","0",35.185043618504,-79.479828747983
"Pin","10","0",35.180530118053,-79.479606447961
"Target","10","1",35.182159118216,-79.480132048013
"Tee","10","0",35.183612618361,-79.479086247909
"Pin","11","0",35.179381717938,-79.482832948283
"Target","11","1",35.179418617942,-79.482264148226
"Tee","11","0",35.180212418021,-79.479781047978
"Pin","12","0",35.182412918241,-79.482454948246
"Target","12","1",35.181284318128,-79.482205648221
"Tee","12","0",35.179708417971,-79.482937348294
"Pin","13","0",35.18549541855,-79.479453447945
"Target","13","1",35.1849977185,-79.481529748153
"Target","13","2",35.185540418554,-79.480007848001
"Tee","13","0",35.182873718287,-79.482320848232
"Pin","14","0",35.185738418574,-79.477127847713
"Tee","14","0",35.185109318511,-79.478973747897
"Pin","15","0",35.188649918865,-79.474421547442
"Target","15","1",35.18749791875,-79.474788747479
"Tee","15","0",35.186146118615,-79.477007247701
"Pin","16","0",35.189772218977,-79.47630434763
"Tee","16","0",35.188871318887,-79.474789647479
"Pin","17","0",35.188943318894,-79.47390134739
"Target","17","1",35.189747018975,-79.474634847464
"Tee","17","0",35.190317619032,-79.476629247663
"Pin","18","0",35.188515818852,-79.47089714709
"Target","18","1",35.18879931888,-79.471351647135
"Tee","18","0",35.18850051885,-79.473992247399
