"type","hole","numPoint","lat","lon"
"Pin","1","0",35.198665119867,-79.388443638844
"Target","1","1",35.198676819868,-79.390810639081
"Target","1","2",35.198783019878,-79.3890034389
"Tee","1","0",35.197588719759,-79.393062439306
"Pin","2","0",35.195388219539,-79.386544638654
"Target","2","1",35.196689619669,-79.387137738714
"Tee","2","0",35.198892819889,-79.387957638796
"Pin","3","0",35.193580119358,-79.386154038615
"Tee","3","0",35.194727619473,-79.386440238644
"Pin","4","0",35.196142419614,-79.384452138445
"Target","4","1",35.19520371952,-79.384757238476
"Tee","4","0",35.193128319313,-79.385975838598
"Pin","5","0",35.197144119714,-79.382617938262
"Tee","5","0",35.195926419593,-79.384191138419
"Pin","6","0",35.200646020065,-79.381729638173
"Target","6","1",35.199280719928,-79.381966338197
"Tee","6","0",35.196939819694,-79.38210313821
"Pin","7","0",35.197613019761,-79.382864538286
"Target","7","1",35.199008919901,-79.382820438282
"Tee","7","0",35.201211220121,-79.3819978382
"Pin","8","0",35.199554319955,-79.385423238542
"Target","8","1",35.198890119889,-79.385006538501
"Tee","8","0",35.19740241974,-79.383058038306
"Pin","9","0",35.201461420146,-79.382913138291
"Target","9","1",35.200960120096,-79.383733938373
"Tee","9","0",35.199905319991,-79.386182838618
"Pin","10","0",35.20550062055,-79.383124638312
"Target","10","1",35.203711420371,-79.381883538188
"Target","10","2",35.205206320521,-79.382837538284
"Tee","10","0",35.201989720199,-79.382842938284
"Pin","11","0",35.208518320852,-79.381024938102
"Target","11","1",35.207588620759,-79.381753938175
"Tee","11","0",35.205347620535,-79.38239743824
"Pin","12","0",35.207909020791,-79.384678038468
"Target","12","1",35.208243820824,-79.383457638346
"Tee","12","0",35.209031320903,-79.380809838081
"Pin","13","0",35.207061220706,-79.383044538304
"Tee","13","0",35.207684920768,-79.384966938497
"Pin","14","0",35.208393220839,-79.385533038553
"Target","14","1",35.207059420706,-79.385174838517
"Tee","14","0",35.206123420612,-79.382655738266
"Pin","15","0",35.205838120584,-79.388816238882
"Target","15","1",35.207519320752,-79.387426638743
"Target","15","2",35.206156720616,-79.388553438855
"Tee","15","0",35.209250920925,-79.385568138557
"Pin","16","0",35.204124520412,-79.390106839011
"Tee","16","0",35.20539802054,-79.389272538927
"Pin","17","0",35.200705420071,-79.39019773902
"Target","17","1",35.201917720192,-79.3909960391
"Tee","17","0",35.204164120416,-79.390377739038
"Pin","18","0",35.197811919781,-79.393164139316
"Target","18","1",35.198675019868,-79.392367639237
"Tee","18","0",35.199881019988,-79.389967338997
