"type","hole","numPoint","lat","lon"
"Pin","1","0",39.792540979254,-74.973323997332
"Target","1","1",39.791226979123,-74.972884797288
"Tee","1","0",39.790813879081,-74.970209997021
"Pin","2","0",39.790068679007,-74.974673097467
"Target","2","1",39.790918279092,-74.974327497433
"Tee","2","0",39.792994579299,-74.973664197366
"Pin","3","0",39.788876178888,-74.975538897554
"Tee","3","0",39.790478179048,-74.975141997514
"Pin","4","0",39.790416079042,-74.971513197151
"Target","4","1",39.78990397899,-74.973711897371
"Tee","4","0",39.788013078801,-74.97560369756
"Pin","5","0",39.788140878814,-74.972269197227
"Tee","5","0",39.789975078998,-74.971540197154
"Pin","6","0",39.786870978687,-74.975447997545
"Target","6","1",39.786668478667,-74.973813597381
"Tee","6","0",39.78830197883,-74.971625697163
"Pin","7","0",39.784624578462,-74.969970596997
"Target","7","1",39.785935878594,-74.973207897321
"Target","7","2",39.785064678506,-74.97090299709
"Tee","7","0",39.786840378684,-74.976137397614
"Pin","8","0",39.786383178638,-74.972505897251
"Target","8","1",39.786262578626,-74.971742697174
"Tee","8","0",39.784939578494,-74.969694296969
"Pin","9","0",39.788583678858,-74.969463896946
"Target","9","1",39.787720578772,-74.970875097087
"Tee","9","0",39.786244578624,-74.973313197331
"Pin","10","0",39.788013978801,-74.967617096762
"Tee","10","0",39.788560278856,-74.969129996913
"Pin","11","0",39.786568578657,-74.971086597109
"Target","11","1",39.786733278673,-74.969586296959
"Tee","11","0",39.787844778784,-74.967335396734
"Pin","12","0",39.784463478446,-74.967742196774
"Target","12","1",39.784277178428,-74.968453196845
"Tee","12","0",39.786092478609,-74.970209997021
"Pin","13","0",39.783541878354,-74.962893896289
"Target","13","1",39.783418578342,-74.9649962965
"Tee","13","0",39.784762278476,-74.967559496756
"Pin","14","0",39.785032278503,-74.96270489627
"Tee","14","0",39.783263778326,-74.962428596243
"Pin","15","0",39.785859378586,-74.969115596912
"Target","15","1",39.785383278538,-74.965608296561
"Target","15","2",39.785531778553,-74.96790149679
"Tee","15","0",39.785314878531,-74.962613996261
"Pin","16","0",39.786285978629,-74.964636296464
"Target","16","1",39.78650197865,-74.966579396658
"Tee","16","0",39.786378678638,-74.969678096968
"Pin","17","0",39.787941078794,-74.967039296704
"Target","17","1",39.787231878723,-74.966426396643
"Tee","17","0",39.78639937864,-74.964157496416
"Pin","18","0",39.790467379047,-74.970641097064
"Target","18","1",39.789305478931,-74.969443196944
"Tee","18","0",39.788070678807,-74.966725196673
