"type","hole","numPoint","lat","lon"
"Pin","1","0",51.687916868792,-0.30575343057534
"Target","1","1",51.687910568791,-0.30630963063096
"Tee","1","0",51.687657668766,-0.30906543090654
"Pin","2","0",51.690110169011,-0.30340083034008
"Target","2","1",51.68969796897,-0.30414873041487
"Tee","2","0",51.68760096876,-0.30551673055167
"Pin","3","0",51.687582968758,-0.30506943050694
"Target","3","1",51.688435268844,-0.3040110304011
"Tee","3","0",51.690482769048,-0.30231183023118
"Pin","4","0",51.690645669065,-0.30169263016926
"Target","4","1",51.689255168926,-0.30228663022866
"Tee","4","0",51.687416468742,-0.30452223045222
"Pin","5","0",51.689583668958,-0.30654453065445
"Target","5","1",51.689990468999,-0.30533583053358
"Tee","5","0",51.690835569084,-0.30195273019527
"Pin","6","0",51.688973468897,-0.30614223061422
"Tee","6","0",51.689385668939,-0.3079710307971
"Pin","7","0",51.68930106893,-0.3106530310653
"Target","7","1",51.689046368905,-0.30917613091761
"Tee","7","0",51.688373168837,-0.30562473056247
"Pin","8","0",51.691765269177,-0.30647973064797
"Target","8","1",51.691018269102,-0.30798633079863
"Tee","8","0",51.689607068961,-0.31083573108357
"Pin","9","0",51.690013869001,-0.30808893080889
"Tee","9","0",51.69090216909,-0.30671823067182
"Pin","10","0",51.691191069119,-0.30284823028482
"Target","10","1",51.690662769066,-0.30581823058182
"Target","10","2",51.691131669113,-0.3033450303345
"Tee","10","0",51.689365868937,-0.30821763082176
"Pin","11","0",51.694310469431,-0.30557613055761
"Target","11","1",51.693270069327,-0.30480123048012
"Tee","11","0",51.691455669146,-0.30251523025152
"Pin","12","0",51.694953969495,-0.30290763029076
"Tee","12","0",51.693565269357,-0.30437463043746
"Pin","13","0",51.691208169121,-0.30186363018636
"Target","13","1",51.6929955693,-0.30244323024432
"Target","13","2",51.69150336915,-0.30195993019599
"Tee","13","0",51.695294169529,-0.30266193026619
"Pin","14","0",51.68939916894,-0.30148833014883
"Tee","14","0",51.690678969068,-0.30109413010941
"Pin","15","0",51.687511868751,-0.30363933036393
"Target","15","1",51.688085168809,-0.30273213027321
"Tee","15","0",51.68949816895,-0.30023283002328
"Pin","16","0",51.688848368885,-0.29906642990664
"Target","16","1",51.68839836884,-0.30068823006882
"Tee","16","0",51.68710416871,-0.30375993037599
"Pin","17","0",51.686817968682,-0.30237843023784
"Target","17","1",51.687364268736,-0.30135963013596
"Tee","17","0",51.68880336888,-0.29845982984598
"Pin","18","0",51.687491168749,-0.30838953083895
"Target","18","1",51.687172568717,-0.30621963062196
"Tee","18","0",51.686431868643,-0.30270333027033
