"type","hole","numPoint","lat","lon"
"Pin","1","0",45.474370247437,-122.75953797595
"Target","1","1",45.475236047524,-122.76042897604
"Tee","1","0",45.477210647721,-122.76211827621
"Pin","2","0",45.477234947723,-122.76075567608
"Target","2","1",45.476005547601,-122.76014187601
"Tee","2","0",45.473969747397,-122.75860737586
"Pin","3","0",45.478681247868,-122.7630083763
"Target","3","1",45.478260947826,-122.7619643762
"Tee","3","0",45.476416847642,-122.7609626761
"Pin","4","0",45.479461547946,-122.76157377616
"Tee","4","0",45.478950347895,-122.76292287629
"Pin","5","0",45.476014547601,-122.75935527594
"Target","5","1",45.477894647789,-122.76025617603
"Target","5","2",45.476411447641,-122.75955237596
"Tee","5","0",45.480070848007,-122.76132717613
"Pin","6","0",45.473914847391,-122.75757957576
"Target","6","1",45.474675347468,-122.75815917582
"Tee","6","0",45.476810147681,-122.75922387592
"Pin","7","0",45.473193047319,-122.76127587613
"Target","7","1",45.473361347336,-122.76015987602
"Tee","7","0",45.473655647366,-122.75725827573
"Pin","8","0",45.473945447395,-122.75946327595
"Tee","8","0",45.473636747364,-122.76169977617
"Pin","9","0",45.47680024768,-122.76224427622
"Target","9","1",45.476058647606,-122.76194547619
"Tee","9","0",45.474221747422,-122.76016707602
"Pin","10","0",45.472718747272,-122.76190407619
"Target","10","1",45.474518747452,-122.76243417624
"Target","10","2",45.472973447297,-122.76211107621
"Tee","10","0",45.476808347681,-122.76279147628
"Pin","11","0",45.473309147331,-122.75730327573
"Target","11","1",45.473143547314,-122.75825547583
"Tee","11","0",45.472706147271,-122.76135957614
"Pin","12","0",45.47159824716,-122.75770647577
"Tee","12","0",45.4729995473,-122.75705397571
"Pin","13","0",45.472228247223,-122.76182307618
"Target","13","1",45.472077947208,-122.76050007605
"Tee","13","0",45.471285947129,-122.75754267575
"Pin","14","0",45.470977247098,-122.75783787578
"Target","14","1",45.471180647118,-122.75910327591
"Tee","14","0",45.471933047193,-122.76220647622
"Pin","15","0",45.470445347045,-122.7640253764
"Target","15","1",45.470907947091,-122.7610454761
"Target","15","2",45.470671247067,-122.76330717633
"Tee","15","0",45.470480447048,-122.75781897578
"Pin","16","0",45.473042747304,-122.76286437629
"Target","16","1",45.471864647186,-122.76280317628
"Tee","16","0",45.470269847027,-122.76492087649
"Pin","17","0",45.472109447211,-122.76352677635
"Tee","17","0",45.473659247366,-122.76311097631
"Pin","18","0",45.476145947615,-122.76320457632
"Target","18","1",45.473886947389,-122.76370857637
"Target","18","2",45.475714847571,-122.76330087633
"Tee","18","0",45.471615347162,-122.76423957642
