"type","hole","numPoint","lat","lon"
"Pin","1","0",54.139772713977,18.455481045548
"Target","1","1",54.138639613864,18.456346845635
"Tee","1","0",54.136315813632,18.457262145726
"Pin","2","0",54.142089314209,18.450711945071
"Target","2","1",54.141266714127,18.451728045173
"Tee","2","0",54.140018414002,18.455030145503
"Pin","3","0",54.140147114015,18.450110745011
"Tee","3","0",54.141831014183,18.450271845027
"Pin","4","0",54.136306813631,18.447133544713
"Target","4","1",54.138158113816,18.447120044712
"Target","4","2",54.136530913653,18.446706044671
"Tee","4","0",54.139270513927,18.450481545048
"Pin","5","0",54.133035313304,18.44540104454
"Target","5","1",54.134010013401,18.44740444474
"Tee","5","0",54.136344613634,18.447761744776
"Pin","6","0",54.129988812999,18.445824944582
"Target","6","1",54.131039113104,18.445846544585
"Tee","6","0",54.133233313323,18.447037244704
"Pin","7","0",54.131356813136,18.4540005454
"Target","7","1",54.130289413029,18.449387144939
"Target","7","2",54.131093113109,18.451835145184
"Tee","7","0",54.129571212957,18.445653044565
"Pin","8","0",54.132639313264,18.45609754561
"Tee","8","0",54.131409913141,18.454526145453
"Pin","9","0",54.136454413645,18.45660244566
"Target","9","1",54.134447413445,18.454942845494
"Target","9","2",54.136131313613,18.45559534556
"Tee","9","0",54.13229641323,18.4570047457
"Pin","10","0",54.136180813618,18.450224145022
"Target","10","1",54.13660021366,18.45269554527
"Tee","10","0",54.136979113698,18.456714945671
"Pin","11","0",54.135489613549,18.452407545241
"Tee","11","0",54.135634513563,18.45030424503
"Pin","12","0",54.132821113282,18.455019345502
"Target","12","1",54.133824613382,18.453418245342
"Tee","12","0",54.136184413618,18.452830545283
"Pin","13","0",54.132224413222,18.448968644897
"Target","13","1",54.132711313271,18.451269045127
"Tee","13","0",54.132428713243,18.455239845524
"Pin","14","0",54.13389571339,18.452149245215
"Target","14","1",54.13389751339,18.449507744951
"Tee","14","0",54.132073213207,18.446886944689
"Pin","15","0",54.136976413698,18.44839984484
"Target","15","1",54.135711913571,18.449405144941
"Tee","15","0",54.134267413427,18.452643345264
"Pin","16","0",54.137840413784,18.451752345175
"Tee","16","0",54.137265313727,18.448722044872
"Pin","17","0",54.139672813967,18.450234945023
"Target","17","1",54.139262413926,18.452082645208
"Tee","17","0",54.137139313714,18.453935745394
"Pin","18","0",54.137366113737,18.455813145581
"Target","18","1",54.139383913938,18.454007745401
"Target","18","2",54.137559613756,18.454859145486
"Tee","18","0",54.140829314083,18.450594045059
