"type","hole","numPoint","lat","lon"
"Pin","1","0",39.388688438869,-9.2809746280975
"Target","1","1",39.387837938784,-9.2801538280154
"Tee","1","0",39.38580303858,-9.2808054280805
"Pin","2","0",39.393312639331,-9.2807244280724
"Target","2","1",39.391729539173,-9.2817162281716
"Target","2","2",39.393033639303,-9.2809278280928
"Tee","2","0",39.389386838939,-9.281639728164
"Pin","3","0",39.394929939493,-9.279590427959
"Tee","3","0",39.394152339415,-9.2811645281165
"Pin","4","0",39.392111139211,-9.278160327816
"Target","4","1",39.392868039287,-9.2780748278075
"Tee","4","0",39.394778739478,-9.2789037278904
"Pin","5","0",39.388286138829,-9.2790405279041
"Target","5","1",39.389814338981,-9.2794644279464
"Tee","5","0",39.392133639213,-9.2787453278745
"Pin","6","0",39.384579938458,-9.2779839277984
"Target","6","1",39.385536638554,-9.2777580277758
"Tee","6","0",39.38780283878,-9.2782782278278
"Pin","7","0",39.380553338055,-9.2788848278885
"Target","7","1",39.382586438259,-9.2780838278084
"Target","7","2",39.381366938137,-9.2787219278722
"Tee","7","0",39.384759938476,-9.2771010277101
"Pin","8","0",39.381905138191,-9.281030428103
"Tee","8","0",39.380880938088,-9.279590427959
"Pin","9","0",39.384785138479,-9.2823714282371
"Target","9","1",39.383738438374,-9.281610028161
"Tee","9","0",39.381712538171,-9.2801934280193
"Pin","10","0",39.389094338909,-9.2863143286314
"Target","10","1",39.38750403875,-9.2856384285638
"Target","10","2",39.388570538857,-9.2864385286439
"Tee","10","0",39.385610438561,-9.2839437283944
"Pin","11","0",39.389285138929,-9.2871864287186
"Tee","11","0",39.390641439064,-9.2860758286076
"Pin","12","0",39.392956239296,-9.2862072286207
"Target","12","1",39.391482039148,-9.2861757286176
"Tee","12","0",39.389370638937,-9.2874924287492
"Pin","13","0",39.394672539467,-9.2831283283128
"Target","13","1",39.394428639443,-9.2837907283791
"Tee","13","0",39.393238839324,-9.2859606285961
"Pin","14","0",39.395965839597,-9.2809206280921
"Tee","14","0",39.394848939485,-9.2820447282045
"Pin","15","0",39.398152839815,-9.2771793277179
"Target","15","1",39.397486839749,-9.2781756278176
"Tee","15","0",39.396242139624,-9.2806821280682
"Pin","16","0",39.395255739526,-9.2807811280781
"Target","16","1",39.395852439585,-9.2795517279552
"Tee","16","0",39.397549839755,-9.2775384277538
"Pin","17","0",39.389969138997,-9.2831094283109
"Target","17","1",39.392547639255,-9.2835153283515
"Target","17","2",39.390780939078,-9.283429828343
"Tee","17","0",39.394594239459,-9.2821491282149
"Pin","18","0",39.38629623863,-9.2815533281553
"Target","18","1",39.387431138743,-9.2812806281281
"Tee","18","0",39.38960283896,-9.282420028242
