"type","hole","numPoint","lat","lon"
"Pin","1","0",42.718494371849,-100.83419028342
"Target","1","1",42.719237771924,-100.83279618328
"Tee","1","0",42.721063872106,-100.8309799831
"Pin","2","0",42.714339971434,-100.83537648354
"Target","2","1",42.716508071651,-100.83538908354
"Target","2","2",42.714867371487,-100.83554478355
"Tee","2","0",42.718813871881,-100.83481578348
"Pin","3","0",42.714316571432,-100.83715938372
"Tee","3","0",42.713922371392,-100.83536838354
"Pin","4","0",42.718655471866,-100.83642228364
"Target","4","1",42.717088571709,-100.83640518364
"Tee","4","0",42.714813371481,-100.83737448374
"Pin","5","0",42.715756571576,-100.83930048393
"Target","5","1",42.716343371634,-100.8380107838
"Tee","5","0",42.718543871854,-100.83708468371
"Pin","6","0",42.714621671462,-100.84210578421
"Tee","6","0",42.715370471537,-100.84068108407
"Pin","7","0",42.710246771025,-100.84611798461
"Target","7","1",42.712330271233,-100.84429818443
"Target","7","2",42.710446571045,-100.84509918451
"Tee","7","0",42.714022271402,-100.84217238422
"Pin","8","0",42.707843770784,-100.84263138426
"Target","8","1",42.708633970863,-100.84431978443
"Tee","8","0",42.710144171014,-100.84675968468
"Pin","9","0",42.708630370863,-100.8459550846
"Target","9","1",42.708326170833,-100.84558968456
"Tee","9","0",42.70729837073,-100.8429751843
"Pin","10","0",42.709478170948,-100.84926978493
"Tee","10","0",42.708827470883,-100.84755888476
"Pin","11","0",42.703775770378,-100.84940928494
"Target","11","1",42.706179670618,-100.84872168487
"Target","11","2",42.704208670421,-100.84886658489
"Tee","11","0",42.708561970856,-100.84887018489
"Pin","12","0",42.706834870683,-100.84689378469
"Target","12","1",42.705346270535,-100.84672458467
"Tee","12","0",42.703417570342,-100.84853538485
"Pin","13","0",42.707341570734,-100.84151538415
"Target","13","1",42.706653970665,-100.84278168428
"Tee","13","0",42.706679170668,-100.84591458459
"Pin","14","0",42.710415971042,-100.84064418406
"Target","14","1",42.709839070984,-100.84048758405
"Tee","14","0",42.707581870758,-100.84067118407
"Pin","15","0",42.715368671537,-100.83982338398
"Target","15","1",42.713090771309,-100.84081518408
"Target","15","2",42.714840371484,-100.839997984
"Tee","15","0",42.710765171077,-100.84041828404
"Pin","16","0",42.719932571993,-100.83857598386
"Target","16","1",42.718441271844,-100.83879288388
"Tee","16","0",42.716233571623,-100.83968658397
"Pin","17","0",42.720425772043,-100.83658878366
"Tee","17","0",42.719262971926,-100.83760218376
"Pin","18","0",42.723168072317,-100.83192948319
"Target","18","1",42.7209990721,-100.8329563833
"Target","18","2",42.722607372261,-100.83140028314
"Tee","18","0",42.720076572008,-100.83594978359
