"type","hole","numPoint","lat","lon"
"Pin","1","0",-25.781263978126,28.249819324982
"Target","1","1",-25.781851678185,28.251125225113
"Tee","1","0",-25.783423078342,28.25280192528
"Pin","2","0",-25.779761877976,28.252284425228
"Target","2","1",-25.780592578059,28.251849725185
"Tee","2","0",-25.780856278086,28.249631224963
"Pin","3","0",-25.782811978281,28.252727225273
"Target","3","1",-25.781809378181,28.252291625229
"Tee","3","0",-25.77949817795,28.252727225273
"Pin","4","0",-25.778360577836,28.252963025296
"Target","4","1",-25.780126378013,28.253323925332
"Target","4","2",-25.778893377889,28.253274425327
"Tee","4","0",-25.782481678248,28.252909025291
"Pin","5","0",-25.7779960778,28.254966425497
"Tee","5","0",-25.778140977814,28.253182625318
"Pin","6","0",-25.781435878144,28.254848525485
"Target","6","1",-25.780614178061,28.255179725518
"Tee","6","0",-25.778317377832,28.2550042255
"Pin","7","0",-25.778742177874,28.25460462546
"Target","7","1",-25.779524277952,28.254427325443
"Tee","7","0",-25.781662678166,28.254430025443
"Pin","8","0",-25.778455077846,28.253552525355
"Tee","8","0",-25.778416377842,28.254862025486
"Pin","9","0",-25.783055878306,28.2529954253
"Target","9","1",-25.780791478079,28.253944925394
"Target","9","2",-25.782584278258,28.253275325328
"Tee","9","0",-25.77869627787,28.253847725385
"Pin","10","0",-25.781452078145,28.255983425598
"Target","10","1",-25.782066778207,28.254313925431
"Tee","10","0",-25.783923478392,28.25280192528
"Pin","11","0",-25.778044677804,28.25539572554
"Target","11","1",-25.77960167796,28.255651325565
"Tee","11","0",-25.781587978159,28.256648525665
"Pin","12","0",-25.782621178262,28.257889625789
"Target","12","1",-25.780039978004,28.256674625667
"Target","12","2",-25.781780578178,28.257706925771
"Tee","12","0",-25.777858377786,28.25560452556
"Pin","13","0",-25.785808978581,28.2559960256
"Target","13","1",-25.784508478451,28.256889725689
"Tee","13","0",-25.782271078227,28.257492725749
"Pin","14","0",-25.783867678387,28.255833125583
"Tee","14","0",-25.78509977851,28.25620032562
"Pin","15","0",-25.786563178656,28.254510125451
"Target","15","1",-25.785373378537,28.254687425469
"Tee","15","0",-25.783374478337,28.255762925576
"Pin","16","0",-25.785082678508,28.255582925558
"Tee","16","0",-25.786821478682,28.254925925493
"Pin","17","0",-25.781925478193,28.257109325711
"Target","17","1",-25.782608578261,28.256779025678
"Tee","17","0",-25.784792878479,28.256334425633
"Pin","18","0",-25.784044078404,28.253319425332
"Target","18","1",-25.782609478261,28.254745925475
"Target","18","2",-25.783652578365,28.253646125365
"Tee","18","0",-25.781694178169,28.257042725704
