"type","hole","numPoint","lat","lon"
"Pin","1","0",50.901779390178,-114.41208214121
"Target","1","1",50.89979938998,-114.41208484121
"Target","1","2",50.90140229014,-114.41209024121
"Tee","1","0",50.897719489772,-114.41349334135
"Pin","2","0",50.905806890581,-114.41243404124
"Target","2","1",50.904659390466,-114.41218294122
"Tee","2","0",50.902358090236,-114.41205334121
"Pin","3","0",50.904564890456,-114.4130370413
"Tee","3","0",50.906228090623,-114.41411524141
"Pin","4","0",50.90569529057,-114.41481814148
"Target","4","1",50.904820490482,-114.41424214142
"Tee","4","0",50.902979090298,-114.41265094127
"Pin","5","0",50.902437290244,-114.4129947413
"Target","5","1",50.903371490337,-114.41436364144
"Tee","5","0",50.905385690539,-114.41550214155
"Pin","6","0",50.904076190408,-114.41576764158
"Target","6","1",50.903240990324,-114.41556964156
"Tee","6","0",50.901825290183,-114.41320624132
"Pin","7","0",50.900238590024,-114.41682694168
"Target","7","1",50.902088990209,-114.41679994168
"Target","7","2",50.900567990057,-114.41677384168
"Tee","7","0",50.904391190439,-114.41671984167
"Pin","8","0",50.901329390133,-114.41382544138
"Tee","8","0",50.901444590144,-114.41584054158
"Pin","9","0",50.898528589853,-114.41407834141
"Target","9","1",50.899580689958,-114.41337184134
"Tee","9","0",50.901855890186,-114.41280394128
"Pin","10","0",50.893906189391,-114.41174734117
"Target","10","1",50.894909689491,-114.41223874122
"Tee","10","0",50.897120989712,-114.4129893413
"Pin","11","0",50.89329868933,-114.41011924101
"Tee","11","0",50.893225789323,-114.41236924124
"Pin","12","0",50.893493089349,-114.40310464031
"Target","12","1",50.894089789409,-114.40671994067
"Target","12","2",50.893711789371,-114.4039812404
"Tee","12","0",50.893882789388,-114.41048644105
"Pin","13","0",50.893212289321,-114.39793413979
"Target","13","1",50.892984589298,-114.39982323998
"Tee","13","0",50.89449658945,-114.40257634026
"Pin","14","0",50.892656089266,-114.39476883948
"Target","14","1",50.892713689271,-114.39633393963
"Tee","14","0",50.892529189253,-114.39997264
"Pin","15","0",50.893846789385,-114.39591363959
"Tee","15","0",50.892971989297,-114.39493263949
"Pin","16","0",50.894085289409,-114.40031014003
"Target","16","1",50.89430488943,-114.39847593985
"Tee","16","0",50.894165389417,-114.39509373951
"Pin","17","0",50.896365889637,-114.40375174038
"Target","17","1",50.895810589581,-114.40344484034
"Tee","17","0",50.89450378945,-114.40051984005
"Pin","18","0",50.895275089527,-114.4109877411
"Target","18","1",50.894782789478,-114.40752184075
"Target","18","2",50.894933089493,-114.41005354101
"Tee","18","0",50.894742289474,-114.40387234039
