"type","hole","numPoint","lat","lon"
"Pin","1","0",44.190135819014,-121.17429491743
"Target","1","1",44.189337518934,-121.17418511742
"Tee","1","0",44.187075818708,-121.17358211736
"Pin","2","0",44.193678219368,-121.1690299169
"Target","2","1",44.192283219228,-121.17164981716
"Target","2","2",44.19309861931,-121.16959151696
"Tee","2","0",44.190676719068,-121.17394931739
"Pin","3","0",44.194278519428,-121.16576291658
"Tee","3","0",44.194608819461,-121.16860871686
"Pin","4","0",44.192218419222,-121.16426081643
"Target","4","1",44.192918619292,-121.16417261642
"Tee","4","0",44.19479601948,-121.16519231652
"Pin","5","0",44.188068518807,-121.16426621643
"Target","5","1",44.189605718961,-121.16431481643
"Tee","5","0",44.191905219191,-121.16415371642
"Pin","6","0",44.183814218381,-121.16637491664
"Target","6","1",44.18560431856,-121.16633261663
"Tee","6","0",44.187918218792,-121.16552711655
"Pin","7","0",44.184592718459,-121.16736491674
"Tee","7","0",44.183125718313,-121.16789591679
"Pin","8","0",44.190345519035,-121.16706701671
"Target","8","1",44.187412418741,-121.16676101668
"Target","8","2",44.189441918944,-121.16721911672
"Tee","8","0",44.185238918524,-121.16739371674
"Pin","9","0",44.187353018735,-121.16981831698
"Target","9","1",44.188610318861,-121.16975171698
"Tee","9","0",44.190636219064,-121.16848271685
"Pin","10","0",44.190876519088,-121.16933861693
"Target","10","1",44.189628218963,-121.17061211706
"Tee","10","0",44.187335918734,-121.17091541709
"Pin","11","0",44.186874218687,-121.16868971687
"Target","11","1",44.188335818834,-121.16888051689
"Tee","11","0",44.190511119051,-121.16766191677
"Pin","12","0",44.184567518457,-121.16835131684
"Target","12","1",44.185650218565,-121.16836391684
"Tee","12","0",44.187341318734,-121.16787701679
"Pin","13","0",44.182444418244,-121.16947001695
"Target","13","1",44.183321018332,-121.16855021686
"Tee","13","0",44.185318118532,-121.16892551689
"Pin","14","0",44.182187018219,-121.17277481728
"Tee","14","0",44.182169018217,-121.17082451708
"Pin","15","0",44.182207718221,-121.17947711795
"Target","15","1",44.18190351819,-121.17651971765
"Target","15","2",44.182077218208,-121.17851231785
"Tee","15","0",44.181984518198,-121.17331121733
"Pin","16","0",44.182757618276,-121.17264071726
"Target","16","1",44.182537118254,-121.17551711755
"Target","16","2",44.183154518315,-121.17326891733
"Tee","16","0",44.182692818269,-121.17872111787
"Pin","17","0",44.182708118271,-121.17123491712
"Tee","17","0",44.183846618385,-121.1729512173
"Pin","18","0",44.185931918593,-121.17143381714
"Target","18","1",44.184550418455,-121.17024761702
"Tee","18","0",44.182221218222,-121.16988851699
