"type","hole","numPoint","lat","lon"
"Pin","1","0",45.61180476118,-122.99647379965
"Target","1","1",45.61239516124,-122.99815319982
"Tee","1","0",45.613012561301,-123.00138510014
"Pin","2","0",45.614660461466,-122.99433089943
"Target","2","1",45.61359576136,-122.99471969947
"Tee","2","0",45.611436661144,-122.99586449959
"Pin","3","0",45.616549561655,-122.9930483993
"Tee","3","0",45.61510146151,-122.99369729937
"Pin","4","0",45.620289962029,-122.99308349931
"Target","4","1",45.61820286182,-122.99312849931
"Target","4","2",45.619765261977,-122.99313119931
"Tee","4","0",45.615968161597,-122.99392049939
"Pin","5","0",45.621279062128,-122.99514899951
"Tee","5","0",45.62110086211,-122.99257859926
"Pin","6","0",45.618538561854,-122.99549459955
"Target","6","1",45.619253161925,-122.99580959958
"Tee","6","0",45.621513062151,-122.99572229957
"Pin","7","0",45.61529586153,-122.99445689945
"Target","7","1",45.616409161641,-122.99526329953
"Tee","7","0",45.618694261869,-122.99485919949
"Pin","8","0",45.6109983611,-122.99540909954
"Target","8","1",45.612979261298,-122.99393039939
"Target","8","2",45.611511361151,-122.99485379949
"Tee","8","0",45.615288661529,-122.99308079931
"Pin","9","0",45.61240146124,-123.00111150011
"Target","9","1",45.611822761182,-122.99914049991
"Tee","9","0",45.611024461102,-122.9959904996
"Pin","10","0",45.612380761238,-122.99622179962
"Target","10","1",45.613027861303,-122.99864009986
"Target","10","2",45.612488761249,-122.99654399965
"Tee","10","0",45.613254661325,-123.00179820018
"Pin","11","0",45.614172661417,-122.99533619953
"Tee","11","0",45.61279746128,-122.99612459961
"Pin","12","0",45.613665961367,-122.99948609995
"Target","12","1",45.613751461375,-122.99762399976
"Tee","12","0",45.615054661505,-122.99490959949
"Pin","13","0",45.615421861542,-122.99553509955
"Target","13","1",45.614926861493,-122.99655119966
"Tee","13","0",45.614024161402,-122.99951489995
"Pin","14","0",45.61489896149,-122.99849609985
"Tee","14","0",45.615759361576,-122.99606069961
"Pin","15","0",45.618883261888,-122.99907029991
"Target","15","1",45.616686361669,-122.99864459986
"Target","15","2",45.618576361858,-122.99873819987
"Tee","15","0",45.614449861445,-122.99942939994
"Pin","16","0",45.619742761974,-122.99930069993
"Tee","16","0",45.618909361891,-122.99826029983
"Pin","17","0",45.617260561726,-123.00023130002
"Target","17","1",45.618059761806,-123.0000171
"Tee","17","0",45.619907461991,-122.99988029999
"Pin","18","0",45.614020561402,-123.00036540004
"Target","18","1",45.615351661535,-122.99994869999
"Tee","18","0",45.61769976177,-122.99935199994
