"type","hole","numPoint","lat","lon"
"Pin","1","0",40.443689244369,-86.925984892598
"Target","1","1",40.442771244277,-86.926073092607
"Tee","1","0",40.44049874405,-86.925585292559
"Pin","2","0",40.445446944545,-86.925837292584
"Tee","2","0",40.443934044393,-86.925745492575
"Pin","3","0",40.450160245016,-86.926486192649
"Target","3","1",40.448612244861,-86.926045192604
"Tee","3","0",40.446443244644,-86.924742892474
"Pin","4","0",40.446736644674,-86.92579679258
"Target","4","1",40.448515044852,-86.927017192702
"Target","4","2",40.44730274473,-86.92650149265
"Tee","4","0",40.45089824509,-86.927116192712
"Pin","5","0",40.446822144682,-86.927760592776
"Tee","5","0",40.446361344636,-86.925330592533
"Pin","6","0",40.444924044492,-86.933020193302
"Target","6","1",40.44439664444,-86.930059193006
"Target","6","2",40.444440744444,-86.932652093265
"Tee","6","0",40.445748444575,-86.927478892748
"Pin","7","0",40.442692944269,-86.932711493271
"Target","7","1",40.443311244331,-86.932512593251
"Tee","7","0",40.445471244547,-86.933561993356
"Pin","8","0",40.443905244391,-86.929340092934
"Target","8","1",40.44369734437,-86.930689193069
"Tee","8","0",40.442060244206,-86.932815893282
"Pin","9","0",40.441037844104,-86.926891192689
"Target","9","1",40.442260044226,-86.928280792828
"Tee","9","0",40.444569444457,-86.929063792906
"Pin","10","0",40.445405544541,-86.92739789274
"Target","10","1",40.442915244292,-86.927063092706
"Target","10","2",40.444842144484,-86.926877692688
"Tee","10","0",40.440645444065,-86.92610009261
"Pin","11","0",40.450339345034,-86.928286192829
"Target","11","1",40.448811144881,-86.927882992788
"Tee","11","0",40.446467544647,-86.928462592846
"Pin","12","0",40.446847344685,-86.929439092944
"Target","12","1",40.448276544828,-86.928616492862
"Tee","12","0",40.450635445064,-86.929079992908
"Pin","13","0",40.447818444782,-86.930013293001
"Tee","13","0",40.446308244631,-86.93009879301
"Pin","14","0",40.45069844507,-86.930648693065
"Target","14","1",40.449935244994,-86.930093393009
"Tee","14","0",40.447641144764,-86.930351693035
"Pin","15","0",40.451271745127,-86.92719989272
"Target","15","1",40.450951345095,-86.928069292807
"Tee","15","0",40.450949545095,-86.930987093099
"Pin","16","0",40.446751044675,-86.92430279243
"Target","16","1",40.449122544912,-86.925336892534
"Target","16","2",40.44759524476,-86.924165992417
"Tee","16","0",40.451377945138,-86.926510492651
"Pin","17","0",40.444080744408,-86.925174892517
"Tee","17","0",40.445932944593,-86.925112792511
"Pin","18","0",40.439835443984,-86.924981392498
"Target","18","1",40.441456344146,-86.925093892509
"Tee","18","0",40.443824244382,-86.924715892472
