"type","hole","numPoint","lat","lon"
"Pin","1","0",38.726827472683,-90.474589847459
"Target","1","1",38.726282072628,-90.476165747617
"Tee","1","0",38.725741172574,-90.479034047903
"Pin","2","0",38.725511672551,-90.474182147418
"Tee","2","0",38.727013772701,-90.47389774739
"Pin","3","0",38.723351672335,-90.476805647681
"Target","3","1",38.724469472447,-90.47659864766
"Tee","3","0",38.726017472602,-90.474633047463
"Pin","4","0",38.721508472151,-90.476636447664
"Tee","4","0",38.723345372335,-90.47730424773
"Pin","5","0",38.724368672437,-90.473076947308
"Target","5","1",38.72379987238,-90.474533147453
"Tee","5","0",38.721815372182,-90.476030747603
"Pin","6","0",38.724433472443,-90.472041947204
"Tee","6","0",38.725475672548,-90.471845747185
"Pin","7","0",38.726838272684,-90.469590346959
"Target","7","1",38.72620197262,-90.470616347062
"Tee","7","0",38.724111272411,-90.471853847185
"Pin","8","0",38.731432773143,-90.471577547158
"Target","8","1",38.729648972965,-90.471027647103
"Target","8","2",38.731070973107,-90.471555047156
"Tee","8","0",38.727346772735,-90.470467847047
"Pin","9","0",38.728752572875,-90.470113247011
"Target","9","1",38.729987372999,-90.470015147002
"Tee","9","0",38.731972773197,-90.47140384714
"Pin","10","0",38.732250873225,-90.467007346701
"Target","10","1",38.73079557308,-90.46870204687
"Target","10","2",38.731968273197,-90.46730074673
"Tee","10","0",38.728578872858,-90.46950214695
"Pin","11","0",38.728714772871,-90.468758746876
"Target","11","1",38.729674172967,-90.468048646805
"Tee","11","0",38.731583973158,-90.46639894664
"Pin","12","0",38.72730267273,-90.469324846933
"Tee","12","0",38.72840337284,-90.469540846954
"Pin","13","0",38.725488272549,-90.472575647258
"Target","13","1",38.726254172625,-90.47269804727
"Tee","13","0",38.727174872717,-90.470107847011
"Pin","14","0",38.724932072493,-90.473147147315
"Tee","14","0",38.72650077265,-90.473616047362
"Pin","15","0",38.721183572118,-90.474627647463
"Target","15","1",38.722488572249,-90.474491747449
"Tee","15","0",38.724180572418,-90.472490147249
"Pin","16","0",38.718423271842,-90.475839947584
"Target","16","1",38.719609471961,-90.475850747585
"Tee","16","0",38.721821672182,-90.475035347504
"Pin","17","0",38.721780272178,-90.478160147816
"Target","17","1",38.720044172004,-90.476931647693
"Target","17","2",38.721539072154,-90.477674147767
"Tee","17","0",38.717774371777,-90.476181047618
"Pin","18","0",38.725094972509,-90.479230247923
"Target","18","1",38.72439747244,-90.478642547864
"Tee","18","0",38.722140272214,-90.478058447806
