"type","hole","numPoint","lat","lon"
"Pin","1","0",34.107380810738,-117.62321496232
"Target","1","1",34.107838910784,-117.6229782623
"Tee","1","0",34.109386010939,-117.62378646238
"Pin","2","0",34.109234810923,-117.62640996264
"Target","2","1",34.108321310832,-117.62588886259
"Tee","2","0",34.107223310722,-117.62367396237
"Pin","3","0",34.111931211193,-117.62721726272
"Target","3","1",34.110774711077,-117.62683026268
"Tee","3","0",34.108508510851,-117.62732436273
"Pin","4","0",34.112035611204,-117.62565306257
"Tee","4","0",34.112537811254,-117.62690586269
"Pin","5","0",34.116465411647,-117.62268126227
"Target","5","1",34.114264911426,-117.62353266235
"Target","5","2",34.115979411598,-117.62283516228
"Tee","5","0",34.112235411224,-117.62494746249
"Pin","6","0",34.118211411821,-117.62272446227
"Tee","6","0",34.116343911634,-117.62231406223
"Pin","7","0",34.114891311489,-117.62544426254
"Target","7","1",34.116230511623,-117.6239520624
"Target","7","2",34.115264811526,-117.62530656253
"Tee","7","0",34.118406711841,-117.6230430623
"Pin","8","0",34.112471211247,-117.62535786254
"Target","8","1",34.113189411319,-117.62480256248
"Tee","8","0",34.115039811504,-117.62480256248
"Pin","9","0",34.110039411004,-117.62276136228
"Target","9","1",34.11059921106,-117.62353536235
"Tee","9","0",34.112175111218,-117.62528046253
"Pin","10","0",34.108871210887,-117.62517336252
"Tee","10","0",34.109466110947,-117.6239529624
"Pin","11","0",34.111928511193,-117.62669346267
"Target","11","1",34.111140111114,-117.62625516263
"Tee","11","0",34.109071010907,-117.62560446256
"Pin","12","0",34.116610311661,-117.62706426271
"Target","12","1",34.114743711474,-117.62680236268
"Target","12","2",34.11620351162,-117.62709576271
"Tee","12","0",34.112488311249,-117.62757366276
"Pin","13","0",34.112642211264,-117.62789856279
"Target","13","1",34.113852711385,-117.62751966275
"Tee","13","0",34.116150411615,-117.62769966277
"Pin","14","0",34.116239511624,-117.62808306281
"Target","14","1",34.11440171144,-117.62836836284
"Target","14","2",34.115912811591,-117.62815416282
"Tee","14","0",34.112059911206,-117.62825496283
"Pin","15","0",34.117748811775,-117.62683836268
"Tee","15","0",34.116568011657,-117.62805336281
"Pin","16","0",34.114229811423,-117.6259617626
"Target","16","1",34.115534811553,-117.62632086263
"Tee","16","0",34.117873911787,-117.62649816265
"Pin","17","0",34.112459511246,-117.62730546273
"Target","17","1",34.112914911291,-117.6269652627
"Tee","17","0",34.114331511433,-117.62509776251
"Pin","18","0",34.109792810979,-117.62432286243
"Target","18","1",34.110775611078,-117.62491776249
"Tee","18","0",34.11240371124,-117.62688426269
