"type","hole","numPoint","lat","lon"
"Pin","1","0",-36.878378487838,174.82987028299
"Target","1","1",-36.880020088002,174.83084498308
"Target","1","2",-36.878549487855,174.83035808304
"Tee","1","0",-36.882251188225,174.83155778316
"Pin","2","0",-36.876279687628,174.83344328334
"Target","2","1",-36.877326387733,174.83257478326
"Tee","2","0",-36.878024787802,174.82994048299
"Pin","3","0",-36.87639578764,174.83515148352
"Tee","3","0",-36.875631687563,174.83354768335
"Pin","4","0",-36.878477487848,174.83135078314
"Target","4","1",-36.877966287797,174.83255858326
"Tee","4","0",-36.876831387683,174.83476268348
"Pin","5","0",-36.880000288,174.83436038344
"Target","5","1",-36.879573687957,174.83348198335
"Tee","5","0",-36.879066987907,174.83077928308
"Pin","6","0",-36.878157087816,174.83787668379
"Target","6","1",-36.878239887824,174.83688128369
"Tee","6","0",-36.880062388006,174.83569328357
"Pin","7","0",-36.881738188174,174.83565908357
"Target","7","1",-36.880516888052,174.83647628365
"Tee","7","0",-36.878592687859,174.83805668381
"Pin","8","0",-36.88040168804,174.83566898357
"Tee","8","0",-36.881514988152,174.83477618348
"Pin","9","0",-36.881536588154,174.83189528319
"Target","9","1",-36.880335088034,174.83209058321
"Tee","9","0",-36.880378288038,174.83445398345
"Pin","10","0",-36.885161788516,174.83091428309
"Target","10","1",-36.884025088403,174.83068748307
"Tee","10","0",-36.882063988206,174.83187638319
"Pin","11","0",-36.884817088482,174.83317238332
"Tee","11","0",-36.885241888524,174.83136428314
"Pin","12","0",-36.883411288341,174.83615228362
"Target","12","1",-36.883607488361,174.83515418352
"Tee","12","0",-36.884511988451,174.83256308326
"Pin","13","0",-36.886206688621,174.83279168328
"Target","13","1",-36.884566888457,174.83483288348
"Target","13","2",-36.885858388586,174.83324888332
"Tee","13","0",-36.883178188318,174.83712878371
"Pin","14","0",-36.88740368874,174.8310456831
"Target","14","1",-36.886886188689,174.83224808322
"Tee","14","0",-36.885556888556,174.83459888346
"Pin","15","0",-36.885314788531,174.8329869833
"Target","15","1",-36.885927688593,174.83193758319
"Tee","15","0",-36.887420788742,174.83017088302
"Pin","16","0",-36.887142688714,174.82721798272
"Target","16","1",-36.886926688693,174.82985048299
"Target","16","2",-36.887136388714,174.82775978278
"Tee","16","0",-36.885355288536,174.8319546832
"Pin","17","0",-36.886440688644,174.82908728291
"Tee","17","0",-36.886820488682,174.8269767827
"Pin","18","0",-36.882620188262,174.83067488307
"Target","18","1",-36.884673988467,174.83025998303
"Target","18","2",-36.882946888295,174.83024558302
"Tee","18","0",-36.886788088679,174.82941218294
