"type","hole","numPoint","lat","lon"
"Pin","1","0",41.730145773015,-71.327388532739
"Target","1","1",41.729416772942,-71.328628732863
"Tee","1","0",41.72880297288,-71.33160233316
"Pin","2","0",41.729228672923,-71.331259433126
"Target","2","1",41.729620172962,-71.330052533005
"Tee","2","0",41.730618273062,-71.327272432727
"Pin","3","0",41.729751572975,-71.334893633489
"Target","3","1",41.729862272986,-71.333824433382
"Tee","3","0",41.729734472973,-71.330909333091
"Pin","4","0",41.731927773193,-71.336258933626
"Target","4","1",41.731239273124,-71.335952933595
"Tee","4","0",41.72910087291,-71.335392233539
"Pin","5","0",41.732518173252,-71.334751433475
"Tee","5","0",41.732163573216,-71.336618033662
"Pin","6","0",41.730350073035,-71.333265533327
"Target","6","1",41.730629973063,-71.333818133382
"Tee","6","0",41.732852073285,-71.334378833438
"Pin","7","0",41.73419937342,-71.331741833174
"Target","7","1",41.732692773269,-71.332112633211
"Tee","7","0",41.730539973054,-71.333040533304
"Pin","8","0",41.737433973743,-71.330588933059
"Target","8","1",41.735587173559,-71.331439433144
"Target","8","2",41.737155873716,-71.330612333061
"Tee","8","0",41.733486573349,-71.33270213327
"Pin","9","0",41.734287573429,-71.328778132878
"Target","9","1",41.735510673551,-71.329217332922
"Tee","9","0",41.737694073769,-71.33019743302
"Pin","10","0",41.735507973551,-71.330084933008
"Tee","10","0",41.733844773384,-71.329073332907
"Pin","11","0",41.73180357318,-71.329373932937
"Target","11","1",41.73359637336,-71.33060153306
"Target","11","2",41.73230127323,-71.330286533029
"Tee","11","0",41.73589857359,-71.330561933056
"Pin","12","0",41.730420273042,-71.33209643321
"Target","12","1",41.730592173059,-71.331119033112
"Tee","12","0",41.731769373177,-71.328727732873
"Pin","13","0",41.731547073155,-71.327560432756
"Target","13","1",41.730658773066,-71.328950932895
"Tee","13","0",41.729933372993,-71.331878633188
"Pin","14","0",41.728746272875,-71.325822532582
"Target","14","1",41.729579672958,-71.326351732635
"Tee","14","0",41.731767573177,-71.327316532732
"Pin","15","0",41.72769777277,-71.328627832863
"Target","15","1",41.727881372788,-71.327149132715
"Tee","15","0",41.728147772815,-71.324084632408
"Pin","16","0",41.727547472755,-71.324145832415
"Target","16","1",41.727453872745,-71.325629032563
"Tee","16","0",41.727477272748,-71.32860353286
"Pin","17","0",41.72669697267,-71.32519793252
"Tee","17","0",41.72730357273,-71.323861432386
"Pin","18","0",41.727435872744,-71.330339633034
"Target","18","1",41.727148772715,-71.32909673291
"Tee","18","0",41.726759072676,-71.326055632606
