"type","hole","numPoint","lat","lon"
"Pin","1","0",53.330336033034,-3.4596687459669
"Target","1","1",53.330135333014,-3.4606344460634
"Tee","1","0",53.329760032976,-3.4642983464298
"Pin","2","0",53.330953433095,-3.4543983454398
"Target","2","1",53.330712233071,-3.4561506456151
"Tee","2","0",53.330008433001,-3.4598217459822
"Pin","3","0",53.331231533123,-3.4529016452902
"Tee","3","0",53.331092033109,-3.4552641455264
"Pin","4","0",53.332626533263,-3.4454856445486
"Target","4","1",53.332037933204,-3.4487076448708
"Target","4","2",53.332515833252,-3.4460004446
"Tee","4","0",53.331245033125,-3.4523274452327
"Pin","5","0",53.330347733035,-3.4497957449796
"Target","5","1",53.330849033085,-3.4490064449006
"Tee","5","0",53.332234133223,-3.4460139446014
"Pin","6","0",53.330072333007,-3.4519251451925
"Target","6","1",53.330868833087,-3.4515741451574
"Tee","6","0",53.331632033163,-3.4486770448677
"Pin","7","0",53.330680733068,-3.4535910453591
"Tee","7","0",53.329733932973,-3.4526919452692
"Pin","8","0",53.329994932999,-3.458260245826
"Target","8","1",53.329966132997,-3.4562775456278
"Tee","8","0",53.330573633057,-3.4525578452558
"Pin","9","0",53.329011232901,-3.4631688463169
"Target","9","1",53.32950353295,-3.4603455460346
"Target","9","2",53.329086832909,-3.4627233462723
"Tee","9","0",53.329413532941,-3.4564926456493
