"type","hole","numPoint","lat","lon"
"Pin","1","0",20.665430366543,-87.050865305087
"Target","1","1",20.665780466578,-87.049661104966
"Tee","1","0",20.665010966501,-87.047340904734
"Pin","2","0",20.667053966705,-87.050908505091
"Tee","2","0",20.665367366537,-87.051455705146
"Pin","3","0",20.671360467136,-87.047816104782
"Target","3","1",20.66989526699,-87.049727704973
"Target","3","2",20.671193067119,-87.048444304844
"Tee","3","0",20.667848666785,-87.050854505085
"Pin","4","0",20.667558866756,-87.049031104903
"Target","4","1",20.668552466855,-87.04839570484
"Tee","4","0",20.670557667056,-87.047185204719
"Pin","5","0",20.666529266653,-87.047458804746
"Tee","5","0",20.66729516673,-87.048708904871
"Pin","6","0",20.669508266951,-87.0469953047
"Target","6","1",20.668531766853,-87.047213104721
"Tee","6","0",20.666276366628,-87.046716304672
"Pin","7","0",20.667538166754,-87.042948004295
"Target","7","1",20.669110466911,-87.045117904512
"Target","7","2",20.667953966795,-87.043407904341
"Tee","7","0",20.670491967049,-87.047086204709
"Pin","8","0",20.667892766789,-87.044640004464
"Tee","8","0",20.667045866705,-87.043049704305
"Pin","9","0",20.664714866471,-87.045833404583
"Target","9","1",20.666113466611,-87.045161104516
"Tee","9","0",20.66839946684,-87.045455404546
"Pin","10","0",20.662486466249,-87.049365904937
"Target","10","1",20.663439566344,-87.048591004859
"Tee","10","0",20.663688866369,-87.046144804614
"Pin","11","0",20.66059646606,-87.046056604606
"Target","11","1",20.66109776611,-87.04719690472
"Tee","11","0",20.661808766181,-87.049537804954
"Pin","12","0",20.655961465596,-87.048681904868
"Target","12","1",20.657915365792,-87.047051104705
"Target","12","2",20.656477165648,-87.04849560485
"Tee","12","0",20.660002466,-87.046010704601
"Pin","13","0",20.657891065789,-87.04589550459
"Target","13","1",20.657042365704,-87.046050304605
"Tee","13","0",20.655710365571,-87.048057304806
"Pin","14","0",20.659525465953,-87.044344804434
"Tee","14","0",20.657928865793,-87.045139504514
"Pin","15","0",20.66380136638,-87.043395304339
"Target","15","1",20.662373966237,-87.04290480429
"Tee","15","0",20.660293166029,-87.043958704396
"Pin","16","0",20.664991166499,-87.039492903949
"Target","16","1",20.665181966518,-87.04090050409
"Tee","16","0",20.664208166421,-87.043129804313
"Pin","17","0",20.666140466614,-87.039981603998
"Tee","17","0",20.665309766531,-87.038747703875
"Pin","18","0",20.663613266361,-87.044218804422
"Target","18","1",20.665346666535,-87.042669004267
"Target","18","2",20.664040766404,-87.044131504413
"Tee","18","0",20.666624666662,-87.040622404062
