"type","hole","numPoint","lat","lon"
"Pin","1","0",33.841717884172,-96.91310409131
"Target","1","1",33.841368684137,-96.910326691033
"Target","1","2",33.841720584172,-96.912159991216
"Tee","1","0",33.839960183996,-96.908010990801
"Pin","2","0",33.843067884307,-96.913087891309
"Tee","2","0",33.841947384195,-96.913482091348
"Pin","3","0",33.845624784562,-96.910145791015
"Target","3","1",33.844666284467,-96.911042191104
"Tee","3","0",33.843454884345,-96.913457791346
"Pin","4","0",33.847108884711,-96.907012890701
"Target","4","1",33.846649884665,-96.907426890743
"Tee","4","0",33.845731884573,-96.909751590975
"Pin","5","0",33.841472184147,-96.907447590745
"Target","5","1",33.84389678439,-96.907446690745
"Target","5","2",33.841967184197,-96.907564590756
"Tee","5","0",33.846166584617,-96.906977790698
"Pin","6","0",33.845772384577,-96.907830990783
"Target","6","1",33.844429584443,-96.908211690821
"Tee","6","0",33.842087784209,-96.908118090812
"Pin","7","0",33.843344184334,-96.912345391235
"Target","7","1",33.843665484367,-96.910825291083
"Tee","7","0",33.845281884528,-96.90929529093
"Pin","8","0",33.841536984154,-96.908882190888
"Target","8","1",33.842130984213,-96.909776790978
"Tee","8","0",33.842690784269,-96.912414691241
"Pin","9","0",33.838246583825,-96.905781690578
"Tee","9","0",33.838643483864,-96.907466490747
"Pin","10","0",33.842294784229,-96.902407590241
"Target","10","1",33.84140108414,-96.903076290308
"Tee","10","0",33.840452484045,-96.90560169056
"Pin","11","0",33.843172284317,-96.897050789705
"Target","11","1",33.843246984325,-96.897821189782
"Tee","11","0",33.842960784296,-96.900422190042
"Pin","12","0",33.846467184647,-96.898118189812
"Target","12","1",33.845735484574,-96.896611589661
"Tee","12","0",33.843433284343,-96.896613389661
"Pin","13","0",33.845571684557,-96.899717489972
"Tee","13","0",33.847071084707,-96.898394489839
"Pin","14","0",33.843415284342,-96.901814490181
"Target","14","1",33.844528584453,-96.901424790142
"Tee","14","0",33.846825384683,-96.901234890124
"Pin","15","0",33.83820248382,-96.902066490207
"Target","15","1",33.840312084031,-96.901720890172
"Target","15","2",33.838716383872,-96.901913490191
"Tee","15","0",33.84269528427,-96.901809090181
"Pin","16","0",33.837310583731,-96.904671090467
"Tee","16","0",33.83729708373,-96.90289809029
"Pin","17","0",33.835272083527,-96.907213590721
"Target","17","1",33.835983083598,-96.906857190686
"Tee","17","0",33.837551783755,-96.905108490511
"Pin","18","0",33.837649883765,-96.905848290585
"Target","18","1",33.836232383623,-96.907929090793
"Target","18","2",33.837378083738,-96.906244290624
"Tee","18","0",33.834044483404,-96.909072990907
