"type","hole","numPoint","lat","lon"
"Pin","1","0",55.182059218206,-7.8199963819996
"Target","1","1",55.183937518394,-7.82109978211
"Target","1","2",55.182510118251,-7.819990081999
"Tee","1","0",55.185529618553,-7.8240139824014
"Pin","2","0",55.179762417976,-7.8168310816831
"Target","2","1",55.1809999181,-7.8181081818108
"Tee","2","0",55.183168018317,-7.8194653819465
"Pin","3","0",55.179587817959,-7.8202006820201
"Tee","3","0",55.179418617942,-7.8176626817663
"Pin","4","0",55.176689817669,-7.8206776820678
"Target","4","1",55.177390917739,-7.8199432819943
"Tee","4","0",55.179339417934,-7.8204949820495
"Pin","5","0",55.173889917389,-7.8200665820067
"Target","5","1",55.175046417505,-7.8186661818666
"Tee","5","0",55.177348617735,-7.8185590818559
"Pin","6","0",55.1720026172,-7.8226567822657
"Target","6","1",55.172653317265,-7.8210772821077
"Tee","6","0",55.17429671743,-7.8182530818253
"Pin","7","0",55.171953117195,-7.8188587818859
"Tee","7","0",55.171490517149,-7.8215578821558
"Pin","8","0",55.172713617271,-7.8127810812781
"Target","8","1",55.172719917272,-7.8163054816305
"Target","8","2",55.172830617283,-7.8134326813433
"Tee","8","0",55.172229417223,-7.8203185820319
"Pin","9","0",55.17630101763,-7.8114724811472
"Target","9","1",55.175045517505,-7.8118729811873
"Tee","9","0",55.172744217274,-7.811960281196
"Pin","10","0",55.175384817538,-7.8159463815946
"Target","10","1",55.175917617592,-7.81450008145
"Tee","10","0",55.177244217724,-7.8112042811204
"Pin","11","0",55.174885317489,-7.8141814814181
"Tee","11","0",55.174824117482,-7.8167293816729
"Pin","12","0",55.17360191736,-7.8182746818275
"Target","12","1",55.173838617384,-7.8165286816529
"Tee","12","0",55.174968117497,-7.8130978813098
"Pin","13","0",55.177091217709,-7.8133390813339
"Target","13","1",55.176055317606,-7.8164206816421
"Target","13","2",55.1770021177,-7.814619781462
"Tee","13","0",55.173984417398,-7.8181828818183
"Pin","14","0",55.178126217813,-7.8182908818291
"Target","14","1",55.177941717794,-7.8169570816957
"Tee","14","0",55.177556517756,-7.8130546813055
"Pin","15","0",55.178135217814,-7.8136936813694
"Target","15","1",55.178628417863,-7.8161407816141
"Tee","15","0",55.178992917899,-7.8201952820195
"Pin","16","0",55.179719217972,-7.8156079815608
"Tee","16","0",55.17859511786,-7.8140689814069
"Pin","17","0",55.183024018302,-7.8185212818521
"Target","17","1",55.181638018164,-7.8168184816818
"Target","17","2",55.182637918264,-7.8179560817956
"Tee","17","0",55.179649017965,-7.8147871814787
"Pin","18","0",55.185608818561,-7.8230914823091
"Target","18","1",55.184752918475,-7.8206371820637
"Tee","18","0",55.183069918307,-7.8177805817781
