"type","hole","numPoint","lat","lon"
"Pin","1","0",53.626051762605,-3.0329265032927
"Target","1","1",53.624806162481,-3.0320589032059
"Tee","1","0",53.62250396225,-3.0321084032108
"Pin","2","0",53.625770062577,-3.0379638037964
"Target","2","1",53.626217362622,-3.0362223036222
"Tee","2","0",53.626607062661,-3.0323955032396
"Pin","3","0",53.627389162739,-3.0336888033689
"Target","3","1",53.626966162697,-3.0358182035818
"Tee","3","0",53.625741262574,-3.0391869039187
"Pin","4","0",53.628747262875,-3.0335358033536
"Tee","4","0",53.627158762716,-3.0329535032954
"Pin","5","0",53.629648162965,-3.0368028036803
"Target","5","1",53.629147762915,-3.0354978035498
"Tee","5","0",53.629576162958,-3.0324630032463
"Pin","6","0",53.626646662665,-3.0405171040517
"Target","6","1",53.627635762764,-3.0379863037986
"Target","6","2",53.626850062685,-3.0400194040019
"Tee","6","0",53.629940662994,-3.0372690037269
"Pin","7","0",53.625587362559,-3.0407457040746
"Tee","7","0",53.626619662662,-3.0390690039069
"Pin","8","0",53.625122962512,-3.0361449036145
"Target","8","1",53.624885362489,-3.0384012038401
"Tee","8","0",53.625473962547,-3.0422982042298
"Pin","9","0",53.622971962297,-3.0334440033444
"Target","9","1",53.624133862413,-3.0334458033446
"Tee","9","0",53.625752062575,-3.0360081036008
"Pin","10","0",53.62429676243,-3.0366921036692
"Target","10","1",53.624051062405,-3.034880403488
"Tee","10","0",53.621983762198,-3.0339615033962
"Pin","11","0",53.624014162401,-3.0420786042079
"Target","11","1",53.624445262445,-3.0401562040156
"Tee","11","0",53.624656762466,-3.036220503622
"Pin","12","0",53.622871162287,-3.0440145044015
"Tee","12","0",53.624336362434,-3.0435483043548
"Pin","13","0",53.623330162333,-3.036579603658
"Target","13","1",53.623288762329,-3.0394623039462
"Tee","13","0",53.62270466227,-3.043360204336
"Pin","14","0",53.621979262198,-3.0353115035311
"Tee","14","0",53.62359836236,-3.0354429035443
"Pin","15","0",53.619044361904,-3.0416682041668
"Target","15","1",53.620388962039,-3.0389538038954
"Target","15","2",53.61919736192,-3.0411561041156
"Tee","15","0",53.62189826219,-3.0360216036022
"Pin","16","0",53.617716861772,-3.0442323044232
"Target","16","1",53.617937361794,-3.0421857042186
"Tee","16","0",53.619094761909,-3.0387495038749
"Pin","17","0",53.618236161824,-3.037359903736
"Target","17","1",53.617351461735,-3.0408465040846
"Target","17","2",53.618011161801,-3.0381564038156
"Tee","17","0",53.617416261742,-3.0448650044865
"Pin","18","0",53.621490562149,-3.0332325033233
"Target","18","1",53.620633762063,-3.0353628035363
"Tee","18","0",53.618582661858,-3.0372744037274
