"type","hole","numPoint","lat","lon"
"Pin","1","0",-35.301057230106,149.09466650947
"Target","1","1",-35.302488230249,149.09255060926
"Target","1","2",-35.301333530133,149.09425790943
"Tee","1","0",-35.303609630361,149.09008640901
"Pin","2","0",-35.301788030179,149.09182970918
"Target","2","1",-35.30120123012,149.09252360925
"Tee","2","0",-35.300074430007,149.0949842095
"Pin","3","0",-35.300305730031,149.0930087093
"Tee","3","0",-35.301365030137,149.09134730913
"Pin","4","0",-35.299491229949,149.08875620888
"Target","4","1",-35.300048330005,149.09125550913
"Target","4","2",-35.29969822997,149.08949330895
"Tee","4","0",-35.299349929935,149.09394380939
"Pin","5","0",-35.302110230211,149.08956170896
"Target","5","1",-35.301273230127,149.08950950895
"Tee","5","0",-35.299314829931,149.0880254088
"Pin","6","0",-35.298861229886,149.08652060865
"Target","6","1",-35.299974529997,149.08784900878
"Tee","6","0",-35.302049930205,149.08907030891
"Pin","7","0",-35.30119673012,149.08638380864
"Target","7","1",-35.300617130062,149.08631270863
"Tee","7","0",-35.298728029873,149.08580960858
"Pin","8","0",-35.300405630041,149.08722080872
"Tee","8","0",-35.301821330182,149.08671860867
"Pin","9","0",-35.303373830337,149.08972010897
"Target","9","1",-35.302654730265,149.08876880888
"Tee","9","0",-35.300549630055,149.08762580876
"Pin","10","0",-35.302626830263,149.08581500858
"Target","10","1",-35.303025530303,149.08683290868
"Tee","10","0",-35.304265730427,149.08921070892
"Pin","11","0",-35.299227529923,149.08533260853
"Target","11","1",-35.30000423,149.08547030855
"Tee","11","0",-35.302280330228,149.08590050859
"Pin","12","0",-35.302282130228,149.08531190853
"Target","12","1",-35.301275030127,149.08467110847
"Tee","12","0",-35.298980929898,149.08491770849
"Pin","13","0",-35.303947130395,149.08644230864
"Tee","13","0",-35.302710530271,149.08519400852
"Pin","14","0",-35.304888530489,149.08153820815
"Target","14","1",-35.304484430448,149.0830412083
"Tee","14","0",-35.303774330377,149.08572500857
"Pin","15","0",-35.304358430436,149.08624790862
"Target","15","1",-35.305487930549,149.08422560842
"Target","15","2",-35.304783230478,149.08552610855
"Tee","15","0",-35.305289030529,149.08171820817
"Pin","16","0",-35.306365430637,149.0839754084
"Target","16","1",-35.30570303057,149.08541450854
"Tee","16","0",-35.304091130409,149.08742960874
"Pin","17","0",-35.307449930745,149.08545590855
"Tee","17","0",-35.306678630668,149.08381520838
"Pin","18","0",-35.304694130469,149.08918100892
"Target","18","1",-35.306252030625,149.08723970872
"Target","18","2",-35.304920030492,149.08888580889
"Tee","18","0",-35.307973730797,149.08536680854
