"type","hole","numPoint","lat","lon"
"Pin","1","0",33.914012191401,-6.8390160839016
"Target","1","1",33.914969791497,-6.8381736838174
"Tee","1","0",33.915917491592,-6.8356446835645
"Pin","2","0",33.915427891543,-6.8400348840035
"Tee","2","0",33.913537891354,-6.83970008397
"Pin","3","0",33.912135691214,-6.8442036844204
"Target","3","1",33.91290339129,-6.8426007842601
"Tee","3","0",33.914813191481,-6.840879984088
"Pin","4","0",33.912910591291,-6.840590184059
"Target","4","1",33.912263491226,-6.8418222841822
"Tee","4","0",33.911505691151,-6.8445465844547
"Pin","5","0",33.90879669088,-6.8420067842007
"Target","5","1",33.911162791116,-6.8413830841383
"Target","5","2",33.909417690942,-6.8417268841727
"Tee","5","0",33.912921391292,-6.8394426839443
"Pin","6","0",33.912418291242,-6.8389728838973
"Target","6","1",33.911207791121,-6.8397855839786
"Tee","6","0",33.909150390915,-6.841239984124
"Pin","7","0",33.915381091538,-6.8354169835417
"Target","7","1",33.91480239148,-6.8368182836818
"Tee","7","0",33.91309959131,-6.8386857838686
"Pin","8","0",33.920912492091,-6.8370180837018
"Target","8","1",33.918733591873,-6.8361342836134
"Target","8","2",33.920280692028,-6.8368065836807
"Tee","8","0",33.91669869167,-6.8346357834636
"Pin","9","0",33.921005192101,-6.8383239838324
"Tee","9","0",33.922216592222,-6.8372376837238
"Pin","10","0",33.917212591721,-6.8410815841082
"Target","10","1",33.9190044919,-6.8400537840054
"Target","10","2",33.917541991754,-6.8409591840959
"Tee","10","0",33.92120139212,-6.839070083907
"Pin","11","0",33.914083291408,-6.8451531845153
"Target","11","1",33.914821291482,-6.8437869843787
"Tee","11","0",33.91649619165,-6.8418105841811
"Pin","12","0",33.91470249147,-6.8425269842527
"Target","12","1",33.913320991332,-6.8446338844634
"Target","12","2",33.914157991416,-6.8428131842813
"Tee","12","0",33.913230991323,-6.8475048847505
"Pin","13","0",33.917568991757,-6.840179784018
"Target","13","1",33.916605991661,-6.8403030840303
"Tee","13","0",33.914606191461,-6.8416791841679
"Pin","14","0",33.91950309195,-6.8389008838901
"Tee","14","0",33.918025291803,-6.8399223839922
"Pin","15","0",33.915443191544,-6.8393220839322
"Target","15","1",33.91629549163,-6.8389350838935
"Tee","15","0",33.918584191858,-6.838629983863
"Pin","16","0",33.918543691854,-6.8380773838077
"Target","16","1",33.917119891712,-6.8379351837935
"Tee","16","0",33.914958091496,-6.8390268839027
"Pin","17","0",33.920155592016,-6.838219583822
"Tee","17","0",33.91840329184,-6.8375571837557
"Pin","18","0",33.916411591641,-6.8349714834971
"Target","18","1",33.918063091806,-6.837009983701
"Target","18","2",33.91669599167,-6.8355816835582
"Tee","18","0",33.920411192041,-6.8375112837511
