"type","hole","numPoint","lat","lon"
"Pin","1","0",49.187381818738,-2.0338544033854
"Target","1","1",49.185839218584,-2.0339534033953
"Target","1","2",49.187072218707,-2.0339030033903
"Tee","1","0",49.183547818355,-2.0336132033613
"Pin","2","0",49.188410518841,-2.0342432034243
"Tee","2","0",49.186982218698,-2.0344313034431
"Pin","3","0",49.192431719243,-2.0330570033057
"Target","3","1",49.190281619028,-2.0340083034008
"Target","3","2",49.19209691921,-2.0331947033195
"Tee","3","0",49.187992018799,-2.0336429033643
"Pin","4","0",49.194051719405,-2.0321894032189
"Tee","4","0",49.192579319258,-2.0326079032608
"Pin","5","0",49.191645119165,-2.0340749034075
"Target","5","1",49.192643219264,-2.0334647033465
"Tee","5","0",49.194436019444,-2.032360403236
"Pin","6","0",49.194436019444,-2.0328194032819
"Target","6","1",49.193662919366,-2.0334935033493
"Tee","6","0",49.191565919157,-2.0344043034404
"Pin","7","0",49.192564019256,-2.0357345035734
"Target","7","1",49.19330471933,-2.0345636034564
"Tee","7","0",49.195148819515,-2.0325620032562
"Pin","8","0",49.191571319157,-2.0357588035759
"Tee","8","0",49.192505519251,-2.0364455036446
"Pin","9","0",49.188282718828,-2.0349272034927
"Target","9","1",49.190288819029,-2.0346806034681
"Target","9","2",49.188857818886,-2.0349065034906
"Tee","9","0",49.192590119259,-2.0345546034555
"Pin","10","0",49.188038818804,-2.0379530037953
"Target","10","1",49.18839521884,-2.0365679036568
"Tee","10","0",49.187723818772,-2.0336618033662
"Pin","11","0",49.190091719009,-2.0351531035153
"Target","11","1",49.189310518931,-2.0358731035873
"Tee","11","0",49.187944318794,-2.0385515038552
"Pin","12","0",49.188136018814,-2.0388062038806
"Target","12","1",49.188884818888,-2.0377622037762
"Tee","12","0",49.190359919036,-2.0353088035309
"Pin","13","0",49.187469118747,-2.0346464034646
"Target","13","1",49.187551018755,-2.0361674036167
"Tee","13","0",49.187872318787,-2.0395919039592
"Pin","14","0",49.187337718734,-2.038719803872
"Target","14","1",49.187043418704,-2.037129503713
"Tee","14","0",49.18709651871,-2.03429990343
"Pin","15","0",49.186279318628,-2.0385965038597
"Tee","15","0",49.187705818771,-2.0394740039474
"Pin","16","0",49.186494418649,-2.0374436037444
"Tee","16","0",49.185519718552,-2.0390825039083
"Pin","17","0",49.185211918521,-2.0344529034453
"Target","17","1",49.186034518603,-2.0353331035333
"Tee","17","0",49.187085718709,-2.0384678038468
"Pin","18","0",49.184075218408,-2.0338337033834
"Target","18","1",49.184409118441,-2.0343656034366
"Tee","18","0",49.186137118614,-2.0362925036293
