"type","hole","numPoint","lat","lon"
"Pin","1","0",-37.969622296962,145.0349515035
"Target","1","1",-37.970285597029,145.03374460337
"Tee","1","0",-37.971074897107,145.0310005031
"Pin","2","0",-37.971684197168,145.0309708031
"Target","2","1",-37.971332297133,145.03305700331
"Tee","2","0",-37.969869796987,145.03531330353
"Pin","3","0",-37.973682197368,145.02755080276
"Target","3","1",-37.973440097344,145.0280278028
"Tee","3","0",-37.97170489717,145.02978550298
"Pin","4","0",-37.974106997411,145.03160350316
"Target","4","1",-37.973857697386,145.03012300301
"Tee","4","0",-37.973818997382,145.02720250272
"Pin","5","0",-37.973478797348,145.03333690333
"Tee","5","0",-37.974344597434,145.03190950319
"Pin","6","0",-37.972419497242,145.029988903
"Target","6","1",-37.973248397325,145.0310293031
"Tee","6","0",-37.973007197301,145.03393450339
"Pin","7","0",-37.97080309708,145.02911230291
"Tee","7","0",-37.971376397138,145.03039030304
"Pin","8","0",-37.972106297211,145.02659590266
"Target","8","1",-37.971484397148,145.02668590267
"Tee","8","0",-37.970526797053,145.02875500288
"Pin","9","0",-37.971125297113,145.02284920228
"Target","9","1",-37.97109559711,145.02484000248
"Tee","9","0",-37.972673297267,145.02667150267
"Pin","10","0",-37.967977996798,145.02321550232
"Target","10","1",-37.969507996951,145.02340090234
"Tee","10","0",-37.971425897143,145.02188080219
"Pin","11","0",-37.971007397101,145.0260460026
"Target","11","1",-37.970109197011,145.02479410248
"Tee","11","0",-37.967892496789,145.02422800242
"Pin","12","0",-37.970457497046,145.03052800305
"Target","12","1",-37.969938196994,145.02910780291
"Tee","12","0",-37.970816597082,145.02640870264
"Pin","13","0",-37.971675197168,145.03413880341
"Target","13","1",-37.972162097216,145.03360600336
"Tee","13","0",-37.972035197204,145.03068910307
"Pin","14","0",-37.974647897465,145.03221010322
"Target","14","1",-37.97360479736,145.03429540343
"Target","14","2",-37.974543497454,145.03291210329
"Tee","14","0",-37.971225197123,145.03449250345
"Pin","15","0",-37.977175097717,145.03422700342
"Target","15","1",-37.976079797608,145.03371130337
"Tee","15","0",-37.974791897479,145.03188250319
"Pin","16","0",-37.975771097577,145.03424050342
"Tee","16","0",-37.977428897743,145.03453840345
"Pin","17","0",-37.969691596969,145.03566250357
"Target","17","1",-37.971972197197,145.03492360349
"Target","17","2",-37.970337797034,145.03516210352
"Tee","17","0",-37.974354497435,145.03505590351
"Pin","18","0",-37.970493497049,145.03147480315
"Target","18","1",-37.969736596974,145.03277260328
"Tee","18","0",-37.969222696922,145.03567240357
