"type","hole","numPoint","lat","lon"
"Pin","1","0",45.496259149626,-73.905538690554
"Target","1","1",45.495343849534,-73.904084290408
"Tee","1","0",45.493384549338,-73.902360790236
"Pin","2","0",45.498248149825,-73.902880990288
"Target","2","1",45.497923249792,-73.904249890425
"Tee","2","0",45.496293349629,-73.906222690622
"Pin","3","0",45.500682650068,-73.898648289865
"Target","3","1",45.499923949992,-73.900169290017
"Tee","3","0",45.498239149824,-73.902408490241
"Pin","4","0",45.498838549884,-73.903250890325
"Target","4","1",45.50029745003,-73.901812690181
"Tee","4","0",45.501374750137,-73.898776989878
"Pin","5","0",45.498142849814,-73.905179590518
"Tee","5","0",45.499329049933,-73.903540690354
"Pin","6","0",45.497661349766,-73.912061891206
"Target","6","1",45.497131249713,-73.908763390876
"Target","6","2",45.497372449737,-73.91149849115
"Tee","6","0",45.4979997498,-73.905721390572
"Pin","7","0",45.496592149659,-73.911574091157
"Tee","7","0",45.497526349753,-73.912834091283
"Pin","8","0",45.496735249674,-73.906520590652
"Target","8","1",45.496279849628,-73.907687890769
"Tee","8","0",45.496440049644,-73.910964791097
"Pin","9","0",45.493474549347,-73.903229290323
"Target","9","1",45.494341249434,-73.904684590468
"Tee","9","0",45.496229449623,-73.906566490657
"Pin","10","0",45.495806449581,-73.896714189671
"Target","10","1",45.494739949474,-73.898074989808
"Tee","10","0",45.493391749339,-73.900810090081
"Pin","11","0",45.493181149318,-73.900155790016
"Target","11","1",45.493908349391,-73.898065089807
"Tee","11","0",45.495587749559,-73.895818689582
"Pin","12","0",45.495209749521,-73.895236389524
"Target","12","1",45.493161349316,-73.896971589697
"Target","12","2",45.494535649454,-73.895579289558
"Tee","12","0",45.492651049265,-73.900174690018
"Pin","13","0",45.496873849687,-73.895193189519
"Tee","13","0",45.495080149508,-73.894579389458
"Pin","14","0",45.495252949525,-73.898833689883
"Target","14","1",45.495975649598,-73.897983189798
"Tee","14","0",45.497287849729,-73.895574789558
"Pin","15","0",45.499088749909,-73.896907689691
"Target","15","1",45.497789149779,-73.897689789769
"Tee","15","0",45.495872149587,-73.899286389929
"Pin","16","0",45.49679644968,-73.899868689987
"Target","16","1",45.498143749814,-73.899374589937
"Tee","16","0",45.499671049967,-73.897156989716
"Pin","17","0",45.497324749732,-73.900627390063
"Tee","17","0",45.496046749605,-73.900654390065
"Pin","18","0",45.494153149415,-73.901475190148
"Target","18","1",45.495630049563,-73.901959390196
"Tee","18","0",45.497817949782,-73.900933390093
