"type","hole","numPoint","lat","lon"
"Pin","1","0",-28.00179550018,153.37132113713
"Target","1","1",-28.002566800257,153.37160013716
"Tee","1","0",-28.004185000418,153.3729600373
"Pin","2","0",-28.001636200164,153.37028073703
"Tee","2","0",-28.000864900086,153.37156773716
"Pin","3","0",-27.997468299747,153.37125453713
"Target","3","1",-27.99969939997,153.37140123714
"Target","3","2",-27.998232399823,153.37117983712
"Tee","3","0",-28.00130050013,153.370015237
"Pin","4","0",-28.000017100002,153.37034463703
"Target","4","1",-27.999252099925,153.37032213703
"Tee","4","0",-27.997262199726,153.37068033707
"Pin","5","0",-27.996462099646,153.36777243678
"Target","5","1",-27.998157699816,153.36909363691
"Target","5","2",-27.996714999672,153.36793623679
"Tee","5","0",-28.000312300031,153.370012537
"Pin","6","0",-27.997877799788,153.36958593696
"Target","6","1",-27.997327899733,153.36936363694
"Tee","6","0",-27.995862699586,153.36793623679
"Pin","7","0",-27.997163199716,153.37005483701
"Tee","7","0",-27.998308899831,153.36991353699
"Pin","8","0",-28.000441000044,153.37274043727
"Target","8","1",-27.999333099933,153.37205913721
"Tee","8","0",-27.997037199704,153.37185483719
"Pin","9","0",-28.003036600304,153.37379703738
"Target","9","1",-28.002013300201,153.37361073736
"Tee","9","0",-27.999713799971,153.37348833735
"Pin","10","0",-28.008373600837,153.37278003728
"Target","10","1",-28.007536600754,153.37339203734
"Tee","10","0",-28.005458500546,153.37451613745
"Pin","11","0",-28.008271900827,153.37723593772
"Target","11","1",-28.008868600887,153.37582473758
"Tee","11","0",-28.008762400876,153.37326603733
"Pin","12","0",-28.005307300531,153.38181693818
"Target","12","1",-28.006875100688,153.38008353801
"Target","12","2",-28.005570100557,153.38129223813
"Tee","12","0",-28.008075700808,153.37785783779
"Pin","13","0",-28.007038000704,153.38523153852
"Target","13","1",-28.006161400616,153.38438283844
"Tee","13","0",-28.004719600472,153.38240913824
"Pin","14","0",-28.006050700605,153.38287893829
"Tee","14","0",-28.007235100724,153.38472933847
"Pin","15","0",-28.008745300875,153.37832493783
"Target","15","1",-28.007446600745,153.38046423805
"Target","15","2",-28.008544600854,153.37877673788
"Tee","15","0",-28.005892300589,153.38238843824
"Pin","16","0",-28.00970020097,153.37644393764
"Tee","16","0",-28.008676900868,153.37763013776
"Pin","17","0",-28.00890190089,153.37232463723
"Target","17","1",-28.009534600953,153.37326063733
"Tee","17","0",-28.009820800982,153.37575453758
"Pin","18","0",-28.005134500513,153.37415613742
"Target","18","1",-28.006339600634,153.37311123731
"Tee","18","0",-28.008321400832,153.37178553718
