"type","hole","numPoint","lat","lon"
"Pin","1","0",-33.87339968734,151.2689767269
"Target","1","1",-33.873423987342,151.26828282683
"Tee","1","0",-33.872747187275,151.26636942664
"Pin","2","0",-33.877577487758,151.26938442694
"Target","2","1",-33.87540398754,151.26941142694
"Target","2","2",-33.876824187682,151.26969042697
"Tee","2","0",-33.87310088731,151.26942132694
"Pin","3","0",-33.878337087834,151.26957162696
"Tee","3","0",-33.876931287693,151.27013502701
"Pin","4","0",-33.881494288149,151.26963102696
"Target","4","1",-33.880173088017,151.26954012695
"Tee","4","0",-33.877909587791,151.270049527
"Pin","5","0",-33.88439768844,151.26771042677
"Target","5","1",-33.883351888335,151.26848712685
"Tee","5","0",-33.881145088115,151.26927912693
"Pin","6","0",-33.883560688356,151.26689772669
"Tee","6","0",-33.884682988468,151.26758712676
"Pin","7","0",-33.879873387987,151.26316092632
"Target","7","1",-33.88180388818,151.26455232646
"Target","7","2",-33.880241488024,151.26345342635
"Tee","7","0",-33.883681288368,151.26624342662
"Pin","8","0",-33.881583388158,151.26508692651
"Target","8","1",-33.881023588102,151.26482412648
"Tee","8","0",-33.879559287956,151.26354522635
"Pin","9","0",-33.883389688339,151.26648192665
"Target","9","1",-33.882549988255,151.2660121266
"Tee","9","0",-33.880643788064,151.26522642652
"Pin","10","0",-33.879759987976,151.26785262679
"Target","10","1",-33.880805788081,151.26739362674
"Tee","10","0",-33.883026088303,151.26666192667
"Pin","11","0",-33.876526287653,151.2679867268
"Target","11","1",-33.877956387796,151.26768342677
"Tee","11","0",-33.880272088027,151.26724872672
"Pin","12","0",-33.879494487949,151.26821172682
"Target","12","1",-33.878613387861,151.26849162685
"Tee","12","0",-33.876314787631,151.26832962683
"Pin","13","0",-33.883115188312,151.2670264267
"Target","13","1",-33.88120268812,151.26816312682
"Target","13","2",-33.882573388257,151.26736752674
"Tee","13","0",-33.878864487886,151.26872922687
"Pin","14","0",-33.88219538822,151.26836742684
"Tee","14","0",-33.883580488358,151.26750072675
"Pin","15","0",-33.878274087827,151.26921792692
"Target","15","1",-33.879573687957,151.26905952691
"Tee","15","0",-33.881870488187,151.26849612685
"Pin","16","0",-33.874105287411,151.26879672688
"Target","16","1",-33.876542487654,151.26883992688
"Target","16","2",-33.874938687494,151.26885522689
"Tee","16","0",-33.878926587893,151.26879672688
"Pin","17","0",-33.875952087595,151.26824142682
"Tee","17","0",-33.87410078741,151.26835932684
"Pin","18","0",-33.873586887359,151.26661872666
"Target","18","1",-33.87439598744,151.26756552676
"Tee","18","0",-33.876615387662,151.26765642677
