"type","hole","numPoint","lat","lon"
"Pin","1","0",32.443975444398,-86.400813240081
"Target","1","1",32.441915344192,-86.397989939799
"Target","1","2",32.443024144302,-86.399924939992
"Tee","1","0",32.442553444255,-86.395419539542
"Pin","2","0",32.440611244061,-86.399263439926
"Target","2","1",32.441879344188,-86.399551439955
"Tee","2","0",32.443594744359,-86.401371240137
"Pin","3","0",32.439024543902,-86.399214839921
"Tee","3","0",32.440215244022,-86.398257239826
"Pin","4","0",32.441023444102,-86.402916540292
"Target","4","1",32.44009734401,-86.401449540145
"Tee","4","0",32.438512443851,-86.399469539947
"Pin","5","0",32.445330844533,-86.403348540335
"Target","5","1",32.442935044293,-86.402690640269
"Target","5","2",32.444359744436,-86.403321540332
"Tee","5","0",32.440944244094,-86.401320840132
"Pin","6","0",32.446016644602,-86.402583540258
"Tee","6","0",32.44439574444,-86.402312640231
"Pin","7","0",32.443736944374,-86.401923840192
"Target","7","1",32.444807044481,-86.401188540119
"Tee","7","0",32.446931044693,-86.402243340224
"Pin","8","0",32.439694143969,-86.399469539947
"Target","8","1",32.441147644115,-86.400548640055
"Tee","8","0",32.443112344311,-86.401972440197
"Pin","9","0",32.442227644223,-86.39490203949
"Target","9","1",32.44190454419,-86.396151239615
"Tee","9","0",32.440385344039,-86.39820053982
"Pin","10","0",32.444613544461,-86.390888939089
"Target","10","1",32.444195044419,-86.392085039209
"Tee","10","0",32.442233944223,-86.393515139352
"Pin","11","0",32.443805344381,-86.38970363897
"Tee","11","0",32.445081544508,-86.390575739058
"Pin","12","0",32.446766344677,-86.386785838679
"Target","12","1",32.446177744618,-86.387547238755
"Tee","12","0",32.444364244436,-86.389229338923
"Pin","13","0",32.445514444551,-86.389931338993
"Target","13","1",32.447093044709,-86.388254638825
"Target","13","2",32.445989644599,-86.389828738983
"Tee","13","0",32.448368344837,-86.385983938598
"Pin","14","0",32.447667244767,-86.388531838853
"Target","14","1",32.446876144688,-86.390147339015
"Tee","14","0",32.445041044504,-86.39179613918
"Pin","15","0",32.44980384498,-86.386691338669
"Target","15","1",32.448922744892,-86.387217838722
"Tee","15","0",32.447845444785,-86.389738738974
"Pin","16","0",32.449475344948,-86.388177238818
"Tee","16","0",32.450824445082,-86.387391538739
"Pin","17","0",32.446281244628,-86.392117439212
"Target","17","1",32.448192844819,-86.390216639022
"Target","17","2",32.447111044711,-86.391684539168
"Tee","17","0",32.449927144993,-86.388422038842
"Pin","18","0",32.44369644437,-86.394040739404
"Target","18","1",32.444780944478,-86.393363939336
"Tee","18","0",32.446905844691,-86.392313639231
