"type","hole","numPoint","lat","lon"
"Pin","1","0",32.677115967712,-85.423030642303
"Target","1","1",32.6759972676,-85.423658842366
"Tee","1","0",32.675007267501,-85.426128442613
"Pin","2","0",32.682965068297,-85.419725841973
"Target","2","1",32.680835668084,-85.420630342063
"Target","2","2",32.682271168227,-85.41989774199
"Tee","2","0",32.678533467853,-85.42060244206
"Pin","3","0",32.680892368089,-85.417630641763
"Tee","3","0",32.681621368162,-85.419438741944
"Pin","4","0",32.68370306837,-85.415960241596
"Target","4","1",32.683026268303,-85.414648941465
"Tee","4","0",32.680817668082,-85.415423841542
"Pin","5","0",32.681470168147,-85.41409544141
"Target","5","1",32.682956968296,-85.413637341364
"Tee","5","0",32.684671468467,-85.415388741539
"Pin","6","0",32.684161168416,-85.409549540955
"Target","6","1",32.682652768265,-85.41140174114
"Target","6","2",32.683948768395,-85.410454041045
"Tee","6","0",32.681348668135,-85.413656241366
"Pin","7","0",32.684193568419,-85.413679641368
"Target","7","1",32.684222368422,-85.411840941184
"Tee","7","0",32.68480286848,-85.409142740914
"Pin","8","0",32.686323868632,-85.417153641715
"Target","8","1",32.685485068549,-85.416777441678
"Tee","8","0",32.684830768483,-85.414461741446
"Pin","9","0",32.687410168741,-85.418545941855
"Tee","9","0",32.688146368815,-85.416592941659
"Pin","10","0",32.690876969088,-85.419232641923
"Target","10","1",32.690115569012,-85.418746641875
"Tee","10","0",32.68789526879,-85.418741241874
"Pin","11","0",32.692954169295,-85.420629442063
"Tee","11","0",32.691369269137,-85.418878041888
"Pin","12","0",32.690369369037,-85.422442942244
"Target","12","1",32.692842569284,-85.422280942228
"Target","12","2",32.691074069107,-85.42230074223
"Tee","12","0",32.694967469497,-85.421227942123
"Pin","13","0",32.688525268853,-85.423045942305
"Target","13","1",32.689261468926,-85.424248342425
"Tee","13","0",32.69139536914,-85.423219642322
"Pin","14","0",32.686259068626,-85.420133542013
"Target","14","1",32.686693768669,-85.421835442184
"Tee","14","0",32.688112168811,-85.424052142405
"Pin","15","0",32.680714168071,-85.421962342196
"Target","15","1",32.682731068273,-85.421544742154
"Target","15","2",32.681264968127,-85.421787742179
"Tee","15","0",32.684615668462,-85.419972441997
"Pin","16","0",32.679072567907,-85.421353942135
"Tee","16","0",32.680339768034,-85.422388942239
"Pin","17","0",32.674453767445,-85.42010114201
"Target","17","1",32.67539876754,-85.421176642118
"Tee","17","0",32.677517367752,-85.422246742225
"Pin","18","0",32.674359267436,-85.424908042491
"Target","18","1",32.674443867444,-85.423189942319
"Tee","18","0",32.67359606736,-85.42059524206
