"type","hole","numPoint","lat","lon"
"Pin","1","0",53.512005551201,-6.1063683106368
"Target","1","1",53.512441151244,-6.1057779105778
"Tee","1","0",53.513728151373,-6.1025676102568
"Pin","2","0",53.510354951036,-6.1104849110485
"Target","2","1",53.510946251095,-6.109209610921
"Tee","2","0",53.511908351191,-6.1056924105692
"Pin","3","0",53.514335651434,-6.1090530109053
"Target","3","1",53.511975851198,-6.1090080109008
"Target","3","2",53.513824451382,-6.1088766108877
"Tee","3","0",53.510241551024,-6.1115550111555
"Pin","4","0",53.511691451169,-6.1078191107819
"Target","4","1",53.512675151268,-6.1076409107641
"Tee","4","0",53.514809951481,-6.1083825108383
"Pin","5","0",53.514872051487,-6.1076607107661
"Target","5","1",53.513942351394,-6.1069425106943
"Tee","5","0",53.511683351168,-6.1067517106752
"Pin","6","0",53.513250251325,-6.1053756105376
"Tee","6","0",53.514727151473,-6.1071891107189
"Pin","7","0",53.515466951547,-6.1032912103291
"Target","7","1",53.514488651449,-6.103840210384
"Tee","7","0",53.512712051271,-6.1063035106304
"Pin","8","0",53.514785651479,-6.1017891101789
"Tee","8","0",53.515774751577,-6.1030608103061
"Pin","9","0",53.513874851387,-6.1032192103219
"Target","9","1",53.514147551415,-6.1028673102867
"Tee","9","0",53.5160042516,-6.1019637101964
